dwc:taxonID	dwc:occurrenceStatus	dwc:locationID	dwc:locality	dwc:countryCode	dcterms:source
3f7cefde-a89f-457d-9e61-b568368b3ccf	native		East Palearctic region		
407bd0cb-44b9-45a3-bcf4-ee02c849f7d5	native		Oriental region		
81661003-d91d-40dc-8e78-2eedbf38a89e	native		West Palearctic region		
ea29145f-f220-4efa-ba23-282dcddc3772	native		West Palearctic region		
740329eb-936e-492e-a20b-66821f3ac4ea	native		West Palearctic region, East Palearctic region		
99cceba0-af28-4bec-aa78-b740556870a7	native		West Palearctic region		
41f8aaec-96e8-4031-8860-3cb1df665c44	native		Neotropical region		
7e83f489-f8c8-4b5a-ae00-8bbc28d5f51d	native		Neotropical region		
819b44e8-f882-4a41-9521-ecda95f6b72d	native		Nearctic region		
62a37c6f023a46dacfe0952f4f5dcc54	native		Neotropical region		
3c64003f-63ea-42d0-a7ef-303d54ae14bc	native		Nearctic region		
0aa73f7c-76f9-4933-9f3a-0955c934b503	native		Australian and Pacific regions		
1a5cf2f7-78aa-448b-8abd-d47e45eff78a	native		Nearctic region		
8f6d6bff-e5f3-481e-b7b3-be1bd92e95e8	native		Nearctic region, Neotropical region		
dbefa873-3efc-4472-a4e9-6f03e45bbbf0	native		East Palearctic region		
4e093337-8afb-4aeb-ada7-2e5120b4c4f0	native		East Palearctic region (fossil)		
d12636c9-84fc-4b68-b3b5-f148908405eb	native		Neotropical region		
32e5e9a0-c0f2-4810-9acd-9857cd9a4e88	native		Neotropical region		
7a1118ca-f91b-49aa-9507-41fc10844cba	native		Afrotropical region		
7f642976-e2a8-4528-bd55-fa8f98602c4e	native		Afrotropical region		
25f1261d-7459-40aa-88db-0bf3aa4fe69d	native		Australian and Pacific regions		
4c47371d-45d8-4c88-aa7f-435c094bcddb	native		Afrotropical region		
674dae03-7c8c-45f4-89bf-0e776d6f79ec	native		Afrotropical region		
b2de18bd-317d-4be5-94aa-513bcef31730	native		Oriental region		
85358099-b222-4aea-9783-b5d961f7ad3e	native		Neotropical region		
83fc9a0d-ce8f-47d7-9388-d0eabbc118c9	native		East Palearctic region		
db4f601d-ea6b-499d-92c3-6df2efbdd255	native		Afrotropical region		
d9a22f77-5899-4cfc-a88c-869f20b84295	native		East Palearctic region		
32189821-72b5-4eb0-aa57-8bba0aa9d383	native		Afrotropical region		
5cfdd540-42db-4a69-b344-c63186a3823a	native		Australian and Pacific regions		
1e50121e-9235-49fb-bb00-11947a39148c	native		West Palearctic region		
456b7cc0-1245-4b93-bd91-6fc467645b3e	native		East Palearctic region		
d7597525-425a-4a7c-bb4f-f285e6beac77	native		West Palearctic region		
ffe47214-865e-49bb-ad78-6ee713e998f2	native		West Palearctic region		
eec74f41-4e4f-412e-8d96-6873378a314c	native		West Palearctic region		
7a11adf9-e6bc-4971-ba3c-703ac86a3af4	native		Neotropical region		
f560f036-51e2-4193-8183-eb3cee139616	native		East Palearctic region		
db571210-0308-4254-977b-d768d6606627	native		West Palearctic region		
c2cb9763-816a-4d66-ad15-a9f4d06595cb	native		Australian and Pacific regions		
1a391111-4fd7-4017-8943-1311029c554e	native		Neotropical region		
5050e926-18e8-46b6-90d7-dd1fe22e38a6	native		Nearctic region		
372ab1c8-df1e-4d12-a611-86817a4a9da4	native		East Palearctic region		
53d5f16f-cff6-4d44-b6b8-84e999ed2191	native		East Palearctic region		
ddaf845a-6b40-42f1-9dcd-a3781427e842	native		West Palearctic region		
234496d9-48b0-4b14-8fe9-cc7e3fe8e390	native		Neotropical region		
8d01048b-115f-4a0a-b763-8df20d37e69a	native		West Palearctic region		
e61b6738-7e0a-481b-abf3-e545dbd235de	native		Neotropical region		
7c943748-0fa8-423d-94fd-132ec93388f4	native		East Palearctic region		
bad30d6e-326d-425c-b576-3d15f83b48d4	native		Neotropical region		
8944eebb-7a76-48b4-a7b2-b4a90ae7b850	native		West Palearctic region		
f137db95-4bbf-4bf5-b95c-0b0dec373c83	native		Neotropical region		
de74c114-5042-4e01-bde4-4e977e853844	native		West Palearctic region		
7483fb46-6efe-420b-bf75-132f5cf85323	native		Nearctic region		
fc653780-cf0d-4d14-adec-3349b08eca18	native		Afrotropical region		
83847f49-7c0e-433b-a308-a21d9643a350	native		West Palearctic region		
2050900d-abda-4c8b-b942-a30d5f325df7	native		West Palearctic region		
ae035d2c-70bd-4e12-870e-5f9af17e589e	native		Neotropical region		
e2ee1eee-acfd-4f6c-ad9c-ce25d845e18d	native		Afrotropical region		
2c49d76b-15c1-45d5-a08b-81910bfb61f6	native		Nearctic region		
0c70a092-a220-4402-950b-dcfbf671a8ae	native		West Palearctic region		
cf0242c9-bc1c-40c7-bc28-f58d3bcb9d49	native		West Palearctic region, [Nearctic region]		
3365c04d-c7a1-4b6d-9e8c-700f5f7f84d4	native		West Palearctic region		
dd6734d8-47dd-4849-a812-978c1b312a8a	native		Nearctic region		
e7ebf1ff-8da5-4c5e-ba35-af4f2b393cf0	native		Afrotropical region		
a27178a1-99af-4a25-95b7-f285211bc721	native		West Palearctic region		
30e93482-7f1f-46b1-9181-477acfaff289	native		Afrotropical region		
574082cc-b655-4b0e-86ae-a0dfa741df2a	native		West Palearctic region		
d4bdba75-0355-4679-9da7-71df1c9b2ba6	native		Australian and Pacific regions		
01a602a5-34f7-44e8-ab4d-dd6f1b2e55ac	native		West Palearctic region		
424ff4b6-4d05-47ed-b79f-afdf89e20bec	native		East Palearctic region		
2db817e2-4243-41d0-b235-1d7adac2c417	native		Oriental region		
a87ef465-5f13-44c3-8286-42705cc181ce	native		Afrotropical region		
d9191fc8-8d04-4c4a-857b-2bef7963243e	native		Neotropical region		
0743e08d-ea14-42d2-b061-344c45c557ac	native		West Palearctic region		
5f372cb0-1703-4d15-b5d3-c61d1a38ffd8	native		Afrotropical region		
e4154e47-5f2a-4138-9958-35bc7abbd134	native		West Palearctic region, East Palearctic region		
07ec8500-9444-4cd1-9504-b0e09a675d24	native		Afrotropical region		
753b0026-8d9a-4ea3-90e0-1c7cac82b818	native		Afrotropical region		
