Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	dd393b928f97fac3e1d6a990b73d1088	de Freina, J. J. (2011). Noctusphecia puchneri gen. et sp. n., eine neue Gattung und nachtaktive Glasflüglerart aus Tansania (Lepidoptera: Sesiidae, Sesiinae, Osminiini). – Nachrichten des entomologischen Vereins Apollo, N.F. 32(1/2), 48-50.	Freina, J.J.		Noctusphecia puchneri gen. et sp. n., eine neue Gattung und nachtaktive Glasflüglerart aus Tansania (Lepidoptera: Sesiidae, Sesiinae, Osminiini)	Nachrichten des entomologischen Vereins Apollo, N. F, 32(1/2)	01/01/2011	48–50			de
Journal Article	eab059ebe771769ceb58b2aef780d917	de Freina, J. J. (2011). Vier neue Sesiiden und eine unbestimmte Homogyna-Art aus dem südlichen Afrika (Lepidoptera, Sesiidae: Osminiini, Sesiini). Nachrichten Des Entomologischen Vereins Apollo, N.F., 31, 211–218.	Freina, J.J.		Vier neue Sesiiden und eine unbestimmte Homogyna-Art aus dem südlichen Afrika (Lepidoptera, Sesiidae: Osminiini, Sesiini)	Nachrichten Des Entomologischen Vereins Apollo, N. F, 31	01/01/2011	211–218			de
Journal Article	6bd9c929becccfb310b9a3ff8434aba6	de Freina, J. J. (2013). Synanthedon angolana sp. n., eine neue Glasflüglerart aus Angola (Lepidoptera: Sesiidae: Sesiinae, Synanthedonini). - Nachrichten des entomologischen Vereins Apollo, N.F. 34(3), 125-126.	Freina, J.J.		Synanthedon angolana sp. n., eine neue Glasflüglerart aus Angola (Lepidoptera: Sesiidae: Sesiinae, Synanthedonini)	Nachrichten des entomologischen Vereins Apollo, N.F. 34(3)	01/01/2013	125–126			el-Latn
Journal Article	8e04f064c59cda2cfb2dd17145c29ae8	de Freina, J. J., & Lingenhöle, A. (2000). Beitrag zur Sesiidae-Fauna Israels und Palästinas (Insecta, Lepidoptera, Sesiidae). Mitteilungen Der Münchner Entomologischen Gesellschaft, 90, 75–84.	Freina, J.J. and A. LingenhöLe		Beitrag zur Sesiidae-Fauna Israels und Palästinas (Insecta, Lepidoptera, Sesiidae)	Mitteilungen Der Münchner Entomologischen Gesellschaft, 90	01/01/2000	75–84			de
Journal Article	02eff50d634bab164fc24b25b6fcdd99	Dehne, A. (1850). Beschreibung einer neuen Setia (Sesia Fabr.) mit Federfühlern, Pennisetia anomala m. Stettiner Entomologische Zeitung, 11, 28–29.	Dehne, A.		Beschreibung einer neuen Setia (Sesia Fabr.) mit Federfühlern, Pennisetia anomala m	Stettiner Entomologische Zeitung, 11	01/01/1850	28–29			de
Journal Article	8d70c0588e48361e73bc0981b2b15472	Diakonoff, A. N. (1954). Microlepidoptera of New Guinea. Results of the Third Archibold Expedition (American-Netherlands Indian Expedition 1938-1939). Part IV. – Verhandelingen / Koninklijke Nederlandse Akademie van Wetenschappen, Afdeeling Natuurkunde. Reeks 2 50(1) (1952-1955), 1-191. (180-190).	Diakonoff, A.N.		Microlepidoptera of New Guinea. Results of the Third Archibold Expedition (American-Netherlands Indian Expedition 1938-1939). Part IV. – Verhandelingen / Koninklijke Nederlandse Akademie van Wetenschappen, Afdeeling Natuurkunde	Reeks 2 50(1)	01/01/1954	180-190			nl
Journal Article	5b6357126aa487a486c78346e6fcb283	Diakonoff, A. N. (1968). Microlepidoptera of the Philippine Islands. United States National Museum Bulletin, 257(1967), 1–484. (218–235).	Diakonoff, A.N.		Microlepidoptera of the Philippine Islands	United States National Museum Bulletin, 257(1967)	01/01/1968	218-235			en
Miscellaneous	826a7d16e459c6fe30e3e3d8998f3282	Donovan, E. (1795). The Natural History of British Insects: explainig them in their several states, the Periods of their transformations, their food, oeconomy & c., together with the history of such minute insects as require investigation by the microscope 4, 96+6 pp, pls 109-144. (21).	Donovan, E.			The Natural History of British Insects: explainig them in their several states, the Periods of their transformations, their food, oeconomy & c., together with the history of such minute insects as require investigation by the microscope 4	01/01/1795	109–144			en
Miscellaneous	477e4f14c5ddf73ed75ffcd9fe6be16d	Donovan, E. (1797). The Natural History of British Insects: explainig them in their several states ... 6, 86+6 pp, pls 181-216. (35, pl. 195).	Donovan, E.			The Natural History of British Insects: explaining them in their several states	01/01/1797	35			en
Journal Article	923b5e7585bfa49f57bbea04af76c92a	Druce, H. (1881). Lepidoptera - Heterocera. – In Godman, F. D. & Salvin, O. (eds.): Biologia Centrali-Americana 39/1, 490 pp; 40/2, 622 pp; 41/3, pls 1-101. – London. (39/1: 28-34, 1883-1884; 40/2: 321-326, 1896; 41/3: pls 5, 68-69).	Druce, H.	Godman, F.D. and O. Salvin	Lepidoptera - Heterocera	Biologia Centrali-Americana, 39(1), 40(2), 41(3)	01/01/1881	490 pp, 622 pp, pls 1-101		London	sl
Journal Article	0bdb54b7df67356cadacb5c7af5bd890	Druce, H. (1882). Descriptions of new species of Aegeriidae and Sphingidae. The Entomologist’s Monthly Magazine, 19, 15–18. (15).	Druce, H.		Descriptions of new species of Aegeriidae and Sphingidae	The Entomologist’s Monthly Magazine, 19	01/01/1882	15–18			en
Journal Article	8b569efd47918ea4b88f28856e37a925	Druce, H. (1889). Descriptions of new Species of Lepidoptera, chiefly from Central America. The Annals and Magazine of Natural History (Sixth Series), 4, 77–94. (78–82).	Druce, H.		Descriptions of new Species of Lepidoptera, chiefly from Central America	The Annals and Magazine of Natural History (Sixth Series), 4	01/01/1889	77–94			en
Journal Article	5f90ade2155dabd7084cf603ace1bcb3	Druce, H. (1892). Description of a new Genus and some new Species of Heterocera from Central America. The Annals and Magazine of Natural History (Sixth Series), 9, 275–279. (275–276).	Druce, H.		Description of a new Genus and some new Species of Heterocera from Central America	The Annals and Magazine of Natural History (Sixth Series), 9	01/01/1892	275–276			en
Conference Paper	385bfa54831771342e35a81bb3513b6c	Druce, H. (1893). Descriptions of new Species of Lepidoptera Heterocera from Central and South America. – Proceedings of the Zoological Society of London, 280-311, [pls xix-xxi]. (280).	Druce, H.		Descriptions of new Species of Lepidoptera Heterocera from Central and South America	Proceedings of the Zoological Society of London	01/01/1893	280–311,			en
Journal Article	96d35f42a16fc23e621a51898aa68c45	Druce, H. (1898). Descriptions of some new Species of Heterocera. The Annals and Magazine of Natural History (Seventh Series), 1, 207–215. (207).	Druce, H.		Descriptions of some new Species of Heterocera	The Annals and Magazine of Natural History (Seventh Series), 1	01/01/1898	207–215			en
Journal Article	3a58f63c176645dc27097b20cdaa944c	Druce, H. (1899). Descriptions of some new Species of Heterocera. The Annals and Magazine of Natural History (Seventh Series), 4, 200–205. (201–205).	Druce, H.		Descriptions of some new Species of Heterocera	The Annals and Magazine of Natural History (Seventh Series), 4	01/01/1899	200–205			en
Journal Article	0d820e57c364ca5ff5de51aa4952f0be	Druce, H. (1910). Descriptions of some new Species of Heterocera from East and West Africa and Tropical South America. The Annals and Magazine of Natural History (Eighth Series), 6, 168–183 (180–181).	Druce, H.		Descriptions of some new Species of Heterocera from East and West Africa and Tropical South America	The Annals and Magazine of Natural History (Eighth Series), 6	01/01/1910	168–183, 180–181			en
Journal Article	3e34863e521b8ae3c96d8f5bc2beba20	Druce, H. (1910). Descriptions of some new Species of Heterocera from Tropical Africa. The Annals and Magazine of Natural History (Eighth Series), 5, 393–402. (401).	Druce, H.		Descriptions of some new Species of Heterocera from Tropical Africa	The Annals and Magazine of Natural History (Eighth Series), 5	01/01/1910	401			en
Journal Article	1b2b3ba75f52a5846cb14c0ac594b545	Druce, H. (1911). Descriptions of some new Species of Heterocera from Tropical South America, and Two new Species of Geometridae from West Africa. The Annals and Magazine of Natural History (Eighth Series), 7, 287–294. (292).	Druce, H.		Descriptions of some new Species of Heterocera from Tropical South America, and Two new Species of Geometridae from West Africa	The Annals and Magazine of Natural History (Eighth Series), 7	01/01/1911	292			en
Journal Article	456ccd3544352bb5a5e41da52355c3d7	Drury, D. (1773). Illustrations of Natural History, Wherein Are Exhibited Upwards Of Two Hundred and Forty Figures of Exotic Insects, According to Their Different Genera ... 2, 9+90 pp, 50 pls. – London. (49).	Drury, D.		Illustrations of natural history. Wherein are exhibited upwards of two hundred and forty figures of exotic insects, according to their different genera ... With a particular description of each insect: interspersed with remarks and reflections on the nature and properties of many of them	According to Their Different Genera, 2	01/01/1773	111		London	en
Journal Article	16fb50088258e70e3fbe468828109024	Duckworth, W. D. (1969). A new species of Aegeriidae from Venezuela predaceous on scale insects (Lepidoptera: Yponomeutoidea). Proceedings of the Entomological Society of Washington, 71, 487–490.	Duckworth, W.D.		A new species of Aegeriidae from Venezuela predaceous on scale insects (Lepidoptera: Yponomeutoidea)	Proceedings of the Entomological Society of Washington, 71	01/01/1969	487–490			en
Journal Article	88197f1acf961485c2d768bb7d4b9dec	Duckworth, W. D., & Eichlin, T. D. (1973). New species of clearwing moths (Lepidoptera: Sesiidae) from North America. Proceedings of the Entomological Society of Washington, 75, 150–159.	Duckworth, W.D. and T.D. Eichlin		New species of clearwing moths (Lepidoptera: Sesiidae) from North America	Proceedings of the Entomological Society of Washington, 75	01/01/1973	150–159			en
Journal Article	1a554b3abf797df38dc4d9ea602a1a76	Duckworth, W. D., & Eichlin, T. D. (1974). Clearwing Moths of Australia and New Zealand (Lepidoptera: Sesiidae). Smithsonian Contributions to Zoology, 180, 1–45.	Duckworth, W.D. and T.D. Eichlin		Clearwing Moths of Australia and New Zealand (Lepidoptera: Sesiidae)	Smithsonian Contributions to Zoology, 180	01/01/1974	1–45			en
Journal Article	1563e612cac2a1e615502d89950ec8a9	Duckworth, W. D., & Eichlin, T. D. (1976). A new species of clearwing moth (Lepidoptera: Sesiidae) from Northern Mexico and Southeastern Arizona. Proceedings of the Entomological Society of Washington, 78, 304–308.	Duckworth, W.D. and T.D. Eichlin		A new species of clearwing moth (Lepidoptera: Sesiidae) from Northern Mexico and Southeastern Arizona	Proceedings of the Entomological Society of Washington, 78	01/01/1976	304–308			en
Journal Article	4c586ee55206048a3efaaade49bd8c7b	Duckworth, W. D., & Eichlin, T. D. (1977). A Classification of the Sesiidae of America North of Mexico (Lepidoptera, Sesioidea). Occasional Papers in Entomology, 26, 1–54.	Duckworth, W.D. and T.D. Eichlin		A Classification of the Sesiidae of America North of Mexico (Lepidoptera, Sesioidea)	Occasional Papers in Entomology, 26	01/01/1977	1–54			en
Journal Article	0920997f75052a293f7a37d2db51310d	Duckworth, W. D., & Eichlin, T. D. (1977). A New Species of Clearwing Moth from Southcentral Texas (Lepidoptera: Sesiidae). The Pan-Pacific Entomologist, 53, 175–178.	Duckworth, W.D. and T.D. Eichlin		A New Species of Clearwing Moth from Southcentral Texas (Lepidoptera: Sesiidae)	The Pan-Pacific Entomologist, 53	01/01/1977	175–178			en
Journal Article	e3632fd4644bdb156d66ef03a6a00f75	Duckworth, W. D., & Eichlin, T. D. (1977). Two new species of clearwing moths (Sesiidae) from eastern North America clarified by sex pheromones. Journal of the Lepidopterists’ Society, 31, 191–196.	Duckworth, W.D. and T.D. Eichlin		Two new species of clearwing moths (Sesiidae) from eastern North America clarified by sex pheromones	Journal of the Lepidopterists’ Society, 31	01/01/1977	191–196			en
Journal Article	ca1fba492dd505176e0265aa263041ea	Duckworth, W. D., & Eichlin, T. D. (1983). Revision of the Clearwing Moth Genus Osminia (Lepidoptera: Sesiidae). Smithsonian Contributions to Zoology, 361, 1–15.	Duckworth, W.D. and T.D. Eichlin		Revision of the Clearwing Moth Genus Osminia (Lepidoptera: Sesiidae)	Smithsonian Contributions to Zoology, 361	01/01/1983	1–15			en
Journal Article	c4a7a982df789aae5ecf60c331c3d7ec	Dumont, C. (1922). Diagnoses de Lépidoptères nouveaux du Nord de l’Afrique. Bulletin De La Société Entomologique De France, 215–220. (215–217).	Dumont, C.		Diagnoses de Lépidoptères nouveaux du Nord de l’Afrique	Bulletin De La Société Entomologique De France	01/01/1922	215–217			fr
Book Chapter	84e3c473f65662afdafbd31342a7ee0b	Durrant, J. H. (1914). Descriptions of two new Tineina (Lep.) from the Lagos District. – The Transactions of the Entomological Society of London (4th ser.) 1913, 513-514.	Durrant, J.H.		Descriptions of two new Tineina (Lep.) from the Lagos District	The Transactions of the Entomological Society of London (4th ser.)	01/01/1914	513–514			en
Journal Article	f1166e91d71e3139055ac9c6e64818da	Durrant, J. H. (1915). Microlepidoptera (Pterophorina and Tineina) collected by the British Ornithologists’ Union and Wollaston Expeditions in the Snow Mountains, Southern Dutch New Guinea. Lepidoptera of the British Ornithologists’ Union and Wollaston Expeditions in the Snow Mountains, Southern Dutch New Guinea, 2, 149–168. (166).	Durrant, J.H.		Microlepidoptera (Pterophorina and Tineina) collected by the British Ornithologists’ Union and Wollaston Expeditions in the Snow Mountains, Southern Dutch New Guinea	Lepidoptera of the British Ornithologists’ Union and Wollaston Expeditions in the Snow Mountains, Southern Dutch New Guinea, 2	01/01/1915	166			en
Conference Paper	d0ebfe4f25759fa7ee19b7bfc65c1bb3	Durrant, J. H. (1924). In: Examples of the mimicry of Hymenoptera by other insects. – Proceedings of the Entomological Society of London (1923-1924), lxxv-lxxvi.	Durrant, J.H.		Examples of the mimicry of Hymenoptera by other insects	Proceedings of the Entomological Society of London (1923-1924)	01/01/1924	lxxv-lxxvi			en
Journal Article	ea07b2451ecb86027a79b5158b5b4e9b	Dyar, H. G. (1904). Additions to the List of North American Lepidoptera, No. 2. Proceedings of the Entomological Society of Washington, 6, 103–119. (106).	Dyar, H.G.		Additions to the List of North American Lepidoptera	Proceedings of the Entomological Society of Washington, 6(2)	01/01/1904	103–119			en
Miscellaneous	000b76b26885256ebde1daad6d9e7b2c	Eda, & Arita. (2015). see Eda, K., Arita, Y., Kallies, A. & Wang, M. (2015).	Eda, K., Y. Arita, A. Kallies, and M. Wang			unknown	01/01/2015				
Journal Article	763802741ef176149ddee196f2054a4a	Edwards, H. (1880). Descriptions of Some New Forms of Aegeriidae. Bulletin of the Brooklyn Entomological Society, 3, 71–72.	Edwards, H.		Descriptions of Some New Forms of Aegeriidae	Bulletin of the Brooklyn Entomological Society, 3	01/01/1880	71–72			en
Journal Article	0de08cf2d80126557d556c8a3b090a17	Edwards, H. (1881). New Genera and Species of the Family Aegeridae. Papilio, 1, 179–208, pl. 4.	Edwards, H.		New Genera and Species of the Family Aegeridae	Papilio, 1	01/01/1881	179–208			en
Journal Article	21d48d8f25a5c9df466144f24b8303ac	Edwards, H. (1882). Descriptions of New Species of N. Am. Heterocera. Papilio, 2, 123–130. (123–124).	Edwards, H.		Descriptions of New Species of N. Am. Heterocera	Papilio, 2	01/01/1882	123–130			nl
Journal Article	c1bb555d62cbd7be0c514dd780f7d308	Edwards, H. (1882). Further Notes and Descriptions of North American Aegeriadae. Papilio, 2, 96–99.	Edwards, H.		Further Notes and Descriptions of North American Aegeriadae	Papilio, 2	01/01/1882	96–99			en
Journal Article	74930739f20bf4b1df5cd552466c1165	Edwards, H. (1882). Notes on N. American Aegeridae, with Descriptions of New Forms. Papilio, 2, 52–57.	Edwards, H.		Notes on N. American Aegeridae, with Descriptions of New Forms	Papilio, 2	01/01/1882	52–57			en
Journal Article	21debd9a53447cb1660bced2ae037def	Edwards, H. (1883). New Species of Aegeriadae. Papilio, 3, 155–157.	Edwards, H.		New Species of Aegeriadae	Papilio, 3	01/01/1883	155–157			la
Journal Article	866811cc3919cd8754fced7acc50f17b	Edwards, H. (1885). New species of Californian Moths. Entomologica Americana, 1, 49–50. (49).	Edwards, H.		New species of Californian Moths	Entomologica Americana, 1	01/01/1885	49–50			es
Journal Article	f084a6c0effc83e408f6950eb67b88dc	Edwards, H. (1887). Descriptions of new Species of North American Heterocera, with Notes. The Canadian Entomologist, 19, 145–147.	Edwards, H.		Descriptions of new Species of North American Heterocera, with Notes	The Canadian Entomologist, 19	01/01/1887	145–147			en
Journal Article	8856b0fba99d16ac37ee298c628fcc4e	Edwards, H. (1891). [Contribution]. In Lugger, O.: Two new Lepidopterous Borers. Psyche, 6, 108–109.	Edwards, H.	Lugger, O.	Two new Lepidopterous Borers	Psyche, 6	01/01/1891	108–109			en
Journal Article	d73ce2bac511be479b4ed5c3303b19e9	Eichlin, T. D. (1986). Western Hemisphere clearwing moths of the subfamily Tinthiinae (Lepidoptera: Sesiidae). Entomography, 4, 315–378.	Eichlin, T.D.		Western Hemisphere clearwing moths of the subfamily Tinthiinae (Lepidoptera: Sesiidae)	Entomography, 4	01/01/1986	315–378			zu
Journal Article	17ee77f38ab649946c9dd87f3ade044b	Eichlin, T. D. (1987). Three New Western Hemisphere Clearwing Moths (Lepidoptera: Sesiidae: Sesiinae). Entomography, 5, 531–540.	Eichlin, T.D.		Three New Western Hemisphere Clearwing Moths (Lepidoptera: Sesiidae: Sesiinae)	Entomography, 5	01/01/1987	531–540			et
Journal Article	07ebdcbdf34600b66b096cb9d3fc8345	Eichlin, T. D. (1989). Western Hemisphere clear wing moths of the subfamily Paranthreninae (Lepidoptera: Sesiidae). Entomography, 6, 159–212.	Eichlin, T.D.		Western Hemisphere clear wing moths of the subfamily Paranthreninae (Lepidoptera: Sesiidae)	Entomography, 6	01/01/1989	159–212			zu
Journal Article	a0d1ea158b969750829701a67fb82b26	Eichlin, T. D. (1992). Clearwing moths of Baja California, Mexico (Lepidoptera, Sesiidae). Tropical Lepidoptera, 3, 135–150.	Eichlin, T.D.		Clearwing moths of Baja California, Mexico (Lepidoptera, Sesiidae)	Tropical Lepidoptera, 3	01/01/1992	135–150			en
Journal Article	fcb844ecb8912d7f5efbe03ca0908ad8	Eichlin, T. D. (1993). A new Texas clearwing moth (Sesiidae: Sesiinae). Journal of the Lepidopterists’ Society, 46(1992), 265–268.	Eichlin, T.D.		A new Texas clearwing moth (Sesiidae: Sesiinae)	Journal of the Lepidopterists’ Society, 46(1992)	01/01/1993	265–268			en
Journal Article	246ef8e19c6fd894fa2a3bdd680cc2ed	Eichlin, T. D. (1995). A new North American clearwing moth and notes on a rare species (Sesiidae). Journal of the Lepidopterists’ Society, 49, 114–118.	Eichlin, T.D.		A new North American clearwing moth and notes on a rare species (Sesiidae)	Journal of the Lepidopterists’ Society, 49	01/01/1995	114–118			en
Journal Article	b5c4ad89bbc1b641e9d4d42a8960037a	Eichlin, T. D. (1995). A new Panamanian clearwing moth (Sesiidae: Sesiinae). Journal of the Lepidopterists’ Society, 49, 39–42.	Eichlin, T.D.		A new Panamanian clearwing moth (Sesiidae: Sesiinae)	Journal of the Lepidopterists’ Society, 49	01/01/1995	39–42			en
Journal Article	d6911438629a24d5fc23b7ec4d7f59e7	Eichlin, T. D. (1998). Western Hemisphere Clearwing Moths of the Tribe Osminiini (Lepidoptera: Sesiidae: Sesiinae). Holarctic Lepidoptera, 5, 23–33.	Eichlin, T.D.		Western Hemisphere Clearwing Moths of the Tribe Osminiini (Lepidoptera: Sesiidae: Sesiinae)	Holarctic Lepidoptera, 5	01/01/1998	23–33			et
Journal Article	bc6e109d416d28cac44374eca1b1fad5	Eichlin, T. D. (2002). In Eichlin, T. D. & Kinnee, S. A.: Brazilian Sesiidae in the collection of the Universität des Saarlandes, Saarbrücken, Germany (Lepidoptera). Zootaxa, 108, 1–15.	Eichlin, T.D.	Eichlin, T.D. and S. Kinnee	A.: Brazilian Sesiidae in the collection of the Universität des Saarlandes, Saarbrücken, Germany (Lepidoptera)	Zootaxa, 108	01/01/2002	1–15			fi
Journal Article	a91911edaf22e9f10a96325494af2de3	Eichlin, T. D. (2003). Carmenta guayaba, a new clearwing moth from Peru (Lepidoptera: Sesiidae). Tropical Lepidoptera, 11, 44–45.	Eichlin, T.D.		Carmenta guayaba, a new clearwing moth from Peru (Lepidoptera: Sesiidae)	Tropical Lepidoptera, 11	01/01/2003	44–45			ig
Journal Article	e26f9cdf7857b58e6baf5f168d9019f0	Eichlin, T. D. (2003). Carmenta munroei, a new clearwing moth from Costa Rica (Lepidoptera: Sesiidae). Tropical Lepidoptera, 11, 42–43.	Eichlin, T.D.		Carmenta munroei, a new clearwing moth from Costa Rica (Lepidoptera: Sesiidae)	Tropical Lepidoptera, 11	01/01/2003	42–43			en
Journal Article	b0c98f47c1ba66f647a30fc84e8935a9	Eichlin, T. D., & Passoa, S. (1984). A new clearwing moth (Sesiidae) from Central America: a stem borer in Mimosa pigra. Journal of the Lepidopterists’ Society, 37(1983), 193–206.	Eichlin, T.D. and S. Passoa		A new clearwing moth (Sesiidae) from Central America: a stem borer in Mimosa pigra	Journal of the Lepidopterists’ Society, 37(1983)	01/01/1984	193–206			en
Journal Article	e4cf20140f439a9d7e7b6d87c4b45fad	Eichlin, T. D., & Taft, W. H. (1988). A new Sesia clearwing moth from Michigan (Sesiidae). Journal of the Lepidopterists’ Society, 42, 231–235.	Eichlin, T.D. and W.H. Taft		A new Sesia clearwing moth from Michigan (Sesiidae)	Journal of the Lepidopterists’ Society, 42	01/01/1988	231–235			en
Journal Article	2a6e59422af1256d70741a3917dc053f	Eichlin, T. D., Delgado, O. S., Strathie, L. W., Zachariades, C., & Clavijo, J. (2009). Carmenta chromolaenae Eichlin, a new species (Lepidoptera: Sesiidae) for the biological control of Chromolaena odorata (L.) King & Robinson (Asteraceae). Zootaxa, 2288, 42–50.	Eichlin, T.D., O.S. Delgado, L.W. Strathie, C. Zachariades, and J. Clavijo		Carmenta chromolaenae Eichlin, a new species (Lepidoptera: Sesiidae) for the biological control of Chromolaena odorata (L.) King & Robinson (Asteraceae)	Zootaxa, 2288	01/01/2009	42–50			ga
Journal Article	48bb10eb3c22d2a7cd7f6ffc8a86a6ad	Emich von Emöke, G. (1872). Descriptions de Lépidoptères de Transcaucasie. Revue Et Magasin De Zoologie Pure Et Appliquée, Series, 2, 23(2) (1871–1872), 63–64.	Emöke, G.		Descriptions de Lépidoptères de Transcaucasie	Revue Et Magasin De Zoologie Pure Et Appliquée, Series, 23(2)	01/01/1872	63–64			fr
Book Chapter	5ac6a480cb991efb592309a151dabb91	Engelhardt, G. P. (1925). Studies in North American Aegeriidae (Lepidoptera). I. Descriptions and Corrections of Species from Long Island, New York. II. Descriptions of Two New Western Species. Bulletin of the Brooklyn Entomological Society (N.S.), 20, 61–69.	Engelhardt, G.P.		Studies in North American Aegeriidae (Lepidoptera). I. Descriptions and Corrections of Species from Long Island, New York. II. Descriptions of Two New Western Species	Bulletin of the Brooklyn Entomological Society (N.S.), 20	01/01/1925	61–69		New York	en
Book Chapter	cf1156846d42b6cec69fc1f809aa3806	Engelhardt, G. P. (1925). Studies of North American Aegeriidae (Lepidoptera). III. Clematis Root Borers of America North of Mexico. Bulletin of the Brooklyn Entomological Society (N.S.), 20, 153–158.	Engelhardt, G.P.		Studies of North American Aegeriidae (Lepidoptera). III. Clematis Root Borers of America North of Mexico	Bulletin of the Brooklyn Entomological Society (N.S.), 20	01/01/1925	153–158			en
Journal Article	ebd59616894a885b226ab80df54fcc37	Engelhardt, G. P. (1946). The North American Clear-Wing Moths of the Family Aegeriidae. – Bulletin of the United States National Museum 190, iv+222 pp.	Engelhardt, G.P.		The North American Clear-Wing Moths of the Family Aegeriidae	Bulletin of the United States National Museum, 190	01/01/1946	222			en
Miscellaneous	d88725b5fa4c3c9a88f7ee8bb087ab92	Erschoff, N. G. (1874). Cheshuyekriliya (Lepidoptera). – Travels in Turkestan (Fedtchenko) 2(5), 128 pp. (26-27, pl. 5) [in Russian].	Erschoff, N.G.			Cheshuyekriliya (Lepidoptera). – Travels in Turkestan (Fedtchenko) 2(5)	01/01/1874	26-27			fy
Miscellaneous	56b3273df57d9d4d1b718eb5b9613876	Esper, E. J. C. (1778). Die Schmetterlinge in Abbildungen nach der Natur mit Beschreibungen 2, 234 pp, pls 1-36. – Erlangen. (122, 131-135, 205-217, 230-232, 234, pls 14-15, 23, 29-32, 36).	Esper, E.J.			Die Schmetterlinge in Abbildungen nach der Natur mit Beschreibungen 2	01/01/1778	234			de
Journal Article	efead4f1aad1303a3961b99eef753ca2	Esper, E. J. C. (1789). Fortsetzung der europäischen Schmetterlinge. – Die Schmetterlinge in Abbildungen nach der Natur mit Beschreibungen 2 (Suppl.), 52 pp, pls 37-47. – Erlangen. (5, 9, 25, 29-30, 44-47, pls 37-38, 42, 44, 47).	Esper, E.J.		Fortsetzung der europäischen Schmetterlinge	Die Schmetterlinge in Abbildungen nach der Natur mit Beschreibungen, 2(Suppl.)	01/01/1789	5, 9, 25, 29-30, 44-47			de
Miscellaneous	83386463df9c5b87d3c73e1380de9c77	Eversmann, E. (1844). Fauna Lepidoperologica Volgo-Uralensis exhibens Lepidopterorum species quas per viginti quinque annos in provinciis Volgam fluvium inter et montes Uralenses sitis observavit et descripsit, 633 pp. – Casan. (100-105).	Eversmann, E.			Fauna Lepidoperologica Volgo-Uralensis exhibens Lepidopterorum species quas per viginti quinque annos in provinciis Volgam fluvium inter et montes Uralenses sitis observavit et descripsit	01/01/1844	100–105			la
Miscellaneous	4fb26f6510e1520a41035ae18ea5c612	Fabricius, J. C. (1775). Systema Entomologiae, sistens Insectorum classes, ordines, genera, species, adiectis synonymis, locis, descriptionibus, observationibus, 30+832 pp. – Flensburg u. Leipzig. (547-549).	Fabricius, J.C.			Systema Entomologiae, sistens Insectorum classes, ordines, genera, species, adiectis synonymis, locis, descriptionibus, observationibus	01/01/1775	547-549			la
Journal Article	feaa52fdfe7ba14a9266873750f0d481	Fabricius, J. C. (1787). Mantissa Insectorum sistens species nuper detectas adiectis synonymis, observationibus, descriptionibus, emendationibus 2, 382 pp. – Hafniae. (98-101).	Fabricius, J.C.			Mantissa Insectorum sistens species nuper detectas adiectis synonymis, observationibus, descriptionibus, emendationibus 2	01/01/1787	98–101			la
Journal Article	5b8535494285013f1034b15e8bcce73b	Fabricius, J. C. (1793). Entomologica systematica emendata et aucta: Secundum classes, ordines, genera, species, adiectis synonymis, locis, observationibus, descriptionibus 3(1), 4+487 pp. – Hafniae. (379-385, 404).	Fabricius, J.C.			Entomologica systematica emendata et aucta: Secundum classes, ordines, genera, species, adiectis synonymis, locis, observationibus, descriptionibus 3(1)	01/01/1793	379-385, 404			la
Journal Article	ecd7d4ee3cf8c6530d39f1df2fa516b4	Failla-Tedaldi, L. (1883). Caccia di Lepidotteri rari. Il Naturalista Siciliano, 2, 249–250.	Failla-Tedaldi, L.		Caccia di Lepidotteri rari	Il Naturalista Siciliano, 2	01/01/1883	249–250			it
Journal Article	29a6c887a9cf00fecabe32c5f3b2f066	Failla-Tedaldi, L. (1890). Contribuzione alla fauna lepidotterologica della Sicilia. Descrizione di alcune nuove specie. – Il Naturalista Siciliano 10(2-3), 25-31, pl i.	Failla-Tedaldi, L.		Contribuzione alla fauna lepidotterologica della Sicilia. Descrizione di alcune nuove specie	Il Naturalista Siciliano, 10(2-3)	01/01/1890	25–31,			it
Conference Paper	4539f34b3acf3d1e69949eb6766d8be4	Fawcett, J. M. (1916). Notes on a Collection of Heterocera made by Mr. W. Feather in British East Africa, 1911-13. – Proceedings of the Zoological Society of London (2), 707-737. (736-737, pl. i).	Fawcett, J.M.		Notes on a Collection of Heterocera made by Mr. W. Feather in British East Africa, 1911-13	Proceedings of the Zoological Society of London	01/01/1916	736–737			en
Journal Article	5365edc805e5e4b51604ac88c130788d	Felder, C. (1861). Lepidopterorum Amboinensium a Dre. L. Doleschall annis 1856-58 collectorum species novae diagnosibus collustratae a Dre. C. Felder, II Heterocera. – Sitzungsberichte der kaiserlichen Akademie der Wissenschaften, Abt. 1, 43(I), 25-44.	Felder, C.		Lepidopterorum Amboinensium a Dre. L. Doleschall annis 1856-58 collectorum species novae diagnosibus collustratae a Dre. C. Felder, II Heterocera	Sitzungsberichte der kaiserlichen Akademie der Wissenschaften, Abt. 1, 43(I)	01/01/1861	25–44			de
