Item type	ID	dwc:namePublishedIn	reference_author	editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	Language
Journal Article	826f533365b6f60786fa8b7e57c3225c	Toševski, I. (2011). A New Species of Clearwing Moths from North West Pakistan - Dipchasphecia chitrala sp. n. (Lepidoptera, Sesiidae). Zastita Bilja (Plant Protection), 62, 227–232.	Toševski, I.		A New Species of Clearwing Moths from North West Pakistan - Dipchasphecia chitrala sp. n. (Lepidoptera, Sesiidae)	Zastita Bilja (Plant Protection), 62	01/01/2011	227–232			en
Journal Article	937056b5191da97c7afbf56d220b0a20	Toševski, I. (2011). Bembecia bumbureta sp. n. A New Species of Clearwing Moths from North-Western Pakistan (Lepidoptera, Sesiidae). – Zastita Bilja (Plant Protection), 62, 197–202.	Toševski, I.		Bembecia bumbureta sp. n. A New Species of Clearwing Moths from North-Western Pakistan (Lepidoptera, Sesiidae)	Zastita Bilja (Plant Protection), 62	01/01/2011	197–202			en
Journal Article	5fdba937624eaebe1904ba32223b339c	Toševski, I. (2011). Bembecia diamerica sp. n. A New Species of Clerwing [Sic] Moth (Lepidoptera, Sesiidae) from Aston Rama Valley in North West Pakistan. – Zastita Bilja (Plant Protection), 62, 39–43.	Toševski, I.		Bembecia diamerica sp. n. A New Species of Clerwing [Sic] Moth (Lepidoptera, Sesiidae) from Aston Rama Valley in North West Pakistan	Zastita Bilja (Plant Protection), 62	01/01/2011	39–43			en
Journal Article	f7bcf1de7ade2550dfba431d3af9cde3	Toševski, I. (2011). Synanthedon rubrocingulata sp. n. A New Species of Clearwing Moths from Northwestern Pakistan (Lepidoptera, Sesiidae). – Zastita Bilja (Plant Protection), 62, 129–133.	Toševski, I.		Synanthedon rubrocingulata sp. n. A New Species of Clearwing Moths from Northwestern Pakistan (Lepidoptera, Sesiidae)	Zastita Bilja (Plant Protection), 62	01/01/2011	129–133			en
Journal Article	0e038f0a2f71d2ff95d3dc545f823d41	Toševski, I., & Arita, Y. (1993). A new species Nokona coreana sp. n. from Korea (Lepidoptera, Sesiidae). Tyo to Ga, 43(1992), 260–262.	Toševski, I. and Y. Arita		A new species Nokona coreana sp. n. from Korea (Lepidoptera, Sesiidae)	Tyo to Ga, 43(1992)	01/01/1993	260–262			mi
Journal Article	5e0abae773b8cceb0f08597faf35c7a5	Treitschke, F. (1834). Die Schmetterlinge von Europa. Suppl. 10(1), 210 pp. – Leipzig. (116-121).	Treitschke, F.			Die Schmetterlinge von Europa. Suppl. 10(1)	01/01/1834	116-121		Leipzig	de
Journal Article	d109d009795f3e40fa0081b31f23f31d	Turati, E. (1913). Un Record Entomologico. Materiali per una faunula dei Lepidotteri della Sardegna. Atti Della Società Italiana Di Scienze Naturali E Del Museo Civico Di Storia Naturale in Milano, 51, 265–365. (339–340).	Turati, E.		Un Record Entomologico. Materiali per una faunula dei Lepidotteri della Sardegna	Atti Della Società Italiana Di Scienze Naturali E Del Museo Civico Di Storia Naturale in Milano, 51	01/01/1913	339–340			it
Journal Article	9e11169b6f12ef8080ef2ec69f819249	Turati, E. (1925). Missione Zoologica del Dr. E. Festa in Cirenaica. XVII. Lepidotteri. Bollettino Dei Musei Di Zoologia Ed Anatomia Comparata Della R. Università Di Torino [N.S.], 39(1924), 1–9. (5–7).	Turati, E.		Missione Zoologica del Dr. E. Festa in Cirenaica. XVII. Lepidotteri	Bollettino Dei Musei Di Zoologia Ed Anatomia Comparata Della R.  Università Di Torino [N. S, 39(1924)]	01/01/1925	5-7			it
Journal Article	ea8ea4620ce01ada839601031648e68f	Turner, A. J. (1917). Lepidopterological Gleanings. The Proceedings of the Royal Society of Queensland, 29, 70–106.	Turner, A.J.		Lepidopterological Gleanings	The Proceedings of the Royal Society of Queensland, 29	01/01/1917	70–106			en
Conference Paper	d5d8186d5cbc83af69197b4447c4916a	Turner, A. J. (1922). Studies in Australian Lepidoptera. Proceedings of the Royal Society of Victoria (New Series), 35, 26–62. (59–62).	Turner, A.J.		Studies in Australian Lepidoptera	Proceedings of the Royal Society of Victoria (New Series)	01/01/1922	59–62			en
