dwc:taxonID	dwc:parentNameUsageID	dwc:acceptedNameUsageID	dwc:originalNameUsageID	dwc:scientificNameID	dwc:datasetID	dwc:taxonomicStatus	dwc:taxonRank	dwc:scientificName	dwc:scientificNameAuthorship	col:notho	dwc:genericName	dwc:infragenericEpithet	dwc:specificEpithet	dwc:infraspecificEpithet	dwc:cultivarEpithet	dwc:nameAccordingTo	dwc:namePublishedIn	dwc:nomenclaturalCode	dwc:nomenclaturalStatus	dwc:taxonRemarks	dcterms:references
3ea7c22e-6edb-4fe2-af03-ed96b89a70c2		a0cbd02b-ce2f-42ba-9485-e53782bfaf1b		3ea7c22e-6edb-4fe2-af03-ed96b89a70c2		synonym	species	Nepticula promissa Staudinger, 1870	Staudinger, 1870		Nepticula		promissa				Staudinger O. Beschreibung neuer Lepidopteren des europäischen Faunanegebiets. Berliner Entomologische Zeitschrift 14: 97-132, 193-208. (1870).	ICZN			
6eaaabd0-ac1e-4036-9fb2-97d1577eaf45		a0cbd02b-ce2f-42ba-9485-e53782bfaf1b		6eaaabd0-ac1e-4036-9fb2-97d1577eaf45		synonym	species	Nepticula robiniella Gustafsson, 1973	Gustafsson, 1973		Nepticula		robiniella				Gustafsson B. A new species of Nepticula v. Heyden from Rhodes (Lep. Nepticulidae). Entomologisk Tidskrift 94: 197-198. (1973).	ICZN			
0ce999a2-d561-41a6-9be3-305ae83ed9ee		f0d96c27-a35e-44e2-8725-df3bc6786a7a		0ce999a2-d561-41a6-9be3-305ae83ed9ee		synonym	species	Stigmella lanceifoliella Vári, 1955	Vári, 1955		Stigmella		lanceifoliella				Vári L. South African Lepidoptera 1. Descriptions of new leafmining Tineina. Annals of the Transvaal Museum 22: 331-351. (1955).	ICZN			
6290d24a15ebe8ba1fc0abc90e0eb7b2		9e1d525b-81e3-4405-b1b3-e9e1a1320d41		6290d24a15ebe8ba1fc0abc90e0eb7b2		synonym	species	Pectinivalva minotaurus Hoare in Hoare & van Nieukerken, 2013	Hoare in Hoare & van Nieukerken, 2013		Pectinivalva		minotaurus				Hoare RJB, Nieukerken EJ van. Phylogeny and host-plant relationships of the Australian Myrtaceae leafmining moth genus Pectinivalva (Lepidoptera, Nepticulidae), with new subgenera and species. ZooKeys 278: 1-64. doi: 10.3897/zookeys.278.4743. (2013).	ICZN			
d751cb1f88a8ce46bb3e52eefd038e47		5e8c2fdd-e463-4af2-a5b7-cbd4bccee12b		d751cb1f88a8ce46bb3e52eefd038e47		synonym	species	Pectinivalva brevipalpa Hoare in Hoare & van Nieukerken, 2013	Hoare in Hoare & van Nieukerken, 2013		Pectinivalva		brevipalpa				Hoare RJB, Nieukerken EJ van. Phylogeny and host-plant relationships of the Australian Myrtaceae leafmining moth genus Pectinivalva (Lepidoptera, Nepticulidae), with new subgenera and species. ZooKeys 278: 1-64. doi: 10.3897/zookeys.278.4743. (2013).	ICZN			
34457be1-2119-4f8c-a96a-750d98c99f20		99cceba0-af28-4bec-aa78-b740556870a7		34457be1-2119-4f8c-a96a-750d98c99f20		synonym	species	Trifurcula confertella Fuchs, 1895	Fuchs, 1895		Trifurcula		confertella				Fuchs A. Kleinschmetterlinge der Loreley-Gegend. Stettiner Entomologische Zeitung 56: 21-52. (1895).	ICZN			
b36923a2-7cc2-400f-81b2-8f81dcde0691		b7ace73f-838d-4a22-aecb-3af92316597f		b36923a2-7cc2-400f-81b2-8f81dcde0691		synonym	species	Nepticula subnitidella (Duponchel, 1843) Zeller, 1848	(Duponchel, 1843) Zeller, 1848		Nepticula		subnitidella				Duponchel PAJ. Nocturnes, Supplément 4. In: Godart J-B (Ed) Histoire naturelle des Lépidoptères ou papillons de France. Méquignon-Marvis, Paris, li-xc, 9-554, pls 551-590. ([1842-1845]).	ICZN			
e6781e1c-3361-4bdb-95d7-df29829aa168		b7ace73f-838d-4a22-aecb-3af92316597f		e6781e1c-3361-4bdb-95d7-df29829aa168		synonym	species	Elachista subnitidella Duponchel, 1843	Duponchel, 1843		Elachista		subnitidella				Duponchel PAJ. Nocturnes, Supplément 4. In: Godart J-B (Ed) Histoire naturelle des Lépidoptères ou papillons de France. Méquignon-Marvis, Paris, li-xc, 9-554, pls 551-590. ([1842-1845]).	ICZN			
e9e4de77-fcdc-4265-9d91-15438f956829		b7ace73f-838d-4a22-aecb-3af92316597f		e9e4de77-fcdc-4265-9d91-15438f956829		synonym	species	Trifurcula griseella Wolff, 1957	Wolff, 1957		Trifurcula		griseella				Wolff NL. Trifurcula griseella nov. spec. (Lepidoptera, Nepticulidae). Entomologiske Meddelelser 28: 19-22. (1957).	ICZN			
6110d9a7-500a-451b-abdc-53172e15eb77		b7ace73f-838d-4a22-aecb-3af92316597f		6110d9a7-500a-451b-abdc-53172e15eb77		synonym	species	Lyonetia subnitidella (Duponchel, 1843) Duponchel, 1844	(Duponchel, 1843) Duponchel, 1844		Lyonetia		subnitidella				Duponchel PAJ. Nocturnes, Supplément 4. In: Godart J-B (Ed) Histoire naturelle des Lépidoptères ou papillons de France. Méquignon-Marvis, Paris, li-xc, 9-554, pls 551-590. ([1842-1845]).	ICZN			
8ea89515-07c8-40b3-a0dd-61aff6b05509		0d69256b-9270-44b4-ae0f-1e5c36f4b8df		8ea89515-07c8-40b3-a0dd-61aff6b05509		synonym	species	Stigmella ortneri (Klimesch, 1951) Klimesch, 1961	(Klimesch, 1951) Klimesch, 1961		Stigmella		ortneri				Klimesch J. Ordnung Lepidoptera. 1. Teil. Pyralidina, Tortricina, Tineina, Eriocraniina und Micropterygina. In: Franz H (Ed) Die Nordost-Alpen im Spiegel ihrer Landtierwelt. Universitätsverlag Wagner, Innsbruck, 481-789. (1961).	ICZN			
c3630971-2c66-4ea6-8138-4545acc4be52		0d69256b-9270-44b4-ae0f-1e5c36f4b8df		c3630971-2c66-4ea6-8138-4545acc4be52		synonym	species	Nepticula ortneri Klimesch, 1951	Klimesch, 1951		Nepticula		ortneri				Klimesch J. Nepticula (Levarchama) ortneri spec. nov. (Lept., Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 36: 66-70. (1951).	ICZN			
1b8239e9-afb2-42a8-bdcf-aa731943dfe1		00408494-c1dd-40e3-9534-15980f59db19		1b8239e9-afb2-42a8-bdcf-aa731943dfe1		synonym	species	Lithocolletis pallidella (Duponchel, 1843) Bruand, [1851]	(Duponchel, 1843) Bruand, [1851]		Lithocolletis		pallidella				Duponchel PAJ. Nocturnes, Supplément 4. In: Godart J-B (Ed) Histoire naturelle des Lépidoptères ou papillons de France. Méquignon-Marvis, Paris, li-xc, 9-554, pls 551-590. ([1842-1845]).	ICZN			
765d8921-87ce-46f5-bd2a-870ca6dcf39d		00408494-c1dd-40e3-9534-15980f59db19		765d8921-87ce-46f5-bd2a-870ca6dcf39d		synonym	species	Trifurcula incognitella Toll, 1936	Toll, 1936		Trifurcula		incognitella				Toll S. Untersuchung der Genitalien bei Pyrausta purpuralis L. und P. ostrinalis Hb., nebst Beschreibung 11 neuer Microlepidopteren-Arten. Annales Musei Zoologici Polonici 11: 401-413, pls. 447-449. (1936).	ICZN			
a4494689-76bb-4f75-b7cf-1b48138e9128		00408494-c1dd-40e3-9534-15980f59db19		a4494689-76bb-4f75-b7cf-1b48138e9128		synonym	species	Oecophora pallidella Duponchel, 1843	Duponchel, 1843		Oecophora		pallidella				Duponchel PAJ. Nocturnes, Supplément 4. In: Godart J-B (Ed) Histoire naturelle des Lépidoptères ou papillons de France. Méquignon-Marvis, Paris, li-xc, 9-554, pls 551-590. ([1842-1845]).	ICZN			
9a78c13f-6e3f-4b44-83a4-9355e2eea502		00408494-c1dd-40e3-9534-15980f59db19		9a78c13f-6e3f-4b44-83a4-9355e2eea502		ambiguous synonym	species	Trifurcula pallidella Zeller, 1848	Zeller, 1848		Trifurcula		pallidella				Zeller PC. Die Gattungen der mit Augendeckeln versehenen blattminirenden Schaben. Linnaea Entomologica 3: 248-344, pl. 242. (1848).	ICZN			
cc8dc886-0c28-448f-b538-17dc268a0950		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		cc8dc886-0c28-448f-b538-17dc268a0950		synonym	species	Levarchama eurema (Tutt, 1899) Beirne, 1945	(Tutt, 1899) Beirne, 1945		Levarchama		eurema				Tutt JW. Natural History of the British Lepidoptera. A textbook for Students and Collectors, 1. London-Berlin, 1: i-iv, 1-560 pp. doi: ttp://dx.doi.org/10.5962/bhl.title.59327. (1899).	ICZN			
2d2b075c-f0a4-4cdc-bc5f-f9bda57496f6		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		2d2b075c-f0a4-4cdc-bc5f-f9bda57496f6		synonym	species	Nepticula heurema Meess, 1910	Meess, 1910		Nepticula		heurema				Spuler A, Meess A. Superfam. Tineides Aculeatae. In: Spuler A (Ed) Die Schmetterlinge Europas II Band. Schweizerbart, Stuttgart, 464-482, pl. 491. (1910).	ICZN			
23c4705a-8c2e-4ad7-ac0c-14fe4cd1ed5c		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		23c4705a-8c2e-4ad7-ac0c-14fe4cd1ed5c		synonym	species	Nepticula eurema Tutt, 1899	Tutt, 1899		Nepticula		eurema				Tutt JW. Natural History of the British Lepidoptera. A textbook for Students and Collectors, 1. London-Berlin, 1: i-iv, 1-560 pp. doi: ttp://dx.doi.org/10.5962/bhl.title.59327. (1899).	ICZN			
6dd927b6-d636-48d9-a5e9-16a69d640f38		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		6dd927b6-d636-48d9-a5e9-16a69d640f38		synonym	species	Stigmella dorycniella (Suire, 1928) Klimesch, 1951	(Suire, 1928) Klimesch, 1951		Stigmella		dorycniella				Klimesch J. Contributo alla fauna Lepidotterologica del Trentino. Studi Trentini di Scienze Naturali 27: 11-68. (1951).	ICZN			
5c3f213a-988e-45b6-9f0c-c641042ad6ae		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		5c3f213a-988e-45b6-9f0c-c641042ad6ae		synonym	species	Stigmella heurema (Meess, 1910) Gerasimov, 1952	(Meess, 1910) Gerasimov, 1952		Stigmella		heurema				Gerasimov AM. Nasekomye Cheshuekrylye. I, 2, Gusenicy 1. Zoological Institute, Academy of Sciences USSR, Moskva, Leningrad, Fauna SSSR N.S. 56: 1-338 pp. (1952).	ICZN			
922de57d-3eaf-4cb7-a6cc-0f635dfd624c		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		922de57d-3eaf-4cb7-a6cc-0f635dfd624c		synonym	species	Stigmella eurema (Tutt, 1899) Klimesch, 1951	(Tutt, 1899) Klimesch, 1951		Stigmella		eurema				Klimesch J. Contributo alla fauna Lepidotterologica del Trentino. Studi Trentini di Scienze Naturali 27: 11-68. (1951).	ICZN			
90e9a282-5f99-4ea7-af7e-59a0c65d7d30		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		90e9a282-5f99-4ea7-af7e-59a0c65d7d30		synonym	species	Nepticula gozmanyi Szöcs, 1959	Szöcs, 1959		Nepticula		gozmanyi				Szocs J. A new Nepticula species from Hungary (Lepidopt.). Acta Zoologica Academiae Scientiarum Hungariae 4: 417-419. (1959).	ICZN			
b0976ebf-4461-4d4a-aed0-b7e81be8e374		f90e3a9a-1e6d-49b2-bd22-fb74a4714bfe		b0976ebf-4461-4d4a-aed0-b7e81be8e374		synonym	species	Nepticula dorycniella Suire, 1928	Suire, 1928		Nepticula		dorycniella				Suire L. Sur une Nepticula Française inédite. Encyclopédie Entomologique B, Lepidoptera 3: 127-129. (1928).	ICZN			
3b36d085-bb29-4593-8803-a0e3e05b757f		6560c7fc-a640-4334-aa70-31006858f4f5		3b36d085-bb29-4593-8803-a0e3e05b757f		synonym	species	Lyonetia immundella Zeller, 1839	Zeller, 1839		Lyonetia		immundella				Zeller PC. Versuch einer naturgemässen Eintheilung der Schaben. Isis von Oken 1839: 167-220. (1839).	ICZN			
86fe227d-dded-4ace-a0b2-ca1e4716d829		77c25561-131a-4242-8b89-58300255a4a6		86fe227d-dded-4ace-a0b2-ca1e4716d829		ambiguous synonym	species	Bucculatrix bicolorella Chrétien, 1915	Chrétien, 1915		Bucculatrix		bicolorella				Chrétien P. Contribution à la connaissance des Lépidoptères du Nord de l'Afrique. Annales de la Société Entomologique de France 84: 289-374, figs. 281-211. (1915).	ICZN			
19686847-be04-4287-ae7e-594c7f9525d8		70e01bda-013d-4e92-97fd-c71c412844c9		19686847-be04-4287-ae7e-594c7f9525d8		synonym	species	Stigmella cryptella (Stainton, 1856) Fletcher et al., 1945	(Stainton, 1856) Fletcher et al., 1945		Stigmella		cryptella				Stainton HT. Lepidoptera. New British species in 1855. Entomologist's Annual 1856: 26-45. (1856).	ICZN			
7a1cd40c-5489-41ab-bf0e-1ca03f39a915		70e01bda-013d-4e92-97fd-c71c412844c9		7a1cd40c-5489-41ab-bf0e-1ca03f39a915		synonym	species	Nepticula trifolii Sorhagen, 1885	Sorhagen, 1885		Nepticula		trifolii				Hering EM. Bestimmungstabellen der Blattminnen von Europa, 3 vols. Junk, 's-Gravenhage: 1185 pp. (1957).	ICZN			
a1a9fe22-185a-4c32-9726-e3a16ee5ec7b		70e01bda-013d-4e92-97fd-c71c412844c9		a1a9fe22-185a-4c32-9726-e3a16ee5ec7b		synonym	species	Nepticula cryptella Stainton, 1856	Stainton, 1856		Nepticula		cryptella				Stainton HT. Lepidoptera. New British species in 1855. Entomologist's Annual 1856: 26-45. (1856).	ICZN			
ae94bf14-bfe2-4fe6-a0bd-1ddfa1aa1549		70e01bda-013d-4e92-97fd-c71c412844c9		ae94bf14-bfe2-4fe6-a0bd-1ddfa1aa1549		synonym	species	Levarchama cryptella (Stainton, 1856) Beirne, 1945	(Stainton, 1856) Beirne, 1945		Levarchama		cryptella				Stainton HT. Lepidoptera. New British species in 1855. Entomologist's Annual 1856: 26-45. (1856).	ICZN			
969680c1-eefe-4d22-bd1a-e1479d532b45		70b383d8-737a-4b74-b18b-6bc0d0c7877a		969680c1-eefe-4d22-bd1a-e1479d532b45		synonym	species	Trifurcula maxima Klimesch, 1953	Klimesch, 1953		Trifurcula		maxima				Klimesch J. Die europäischen Trifurcula- und Ectoedemia-Arten (Lep., Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 38: 160-170. (1953).	ICZN			
04311386-6d50-4683-b40b-e7cff206f1c9		887cf461-e2f6-418f-b350-b6f6a8c5c8d9		04311386-6d50-4683-b40b-e7cff206f1c9		synonym	species	Nepticula ridiculosa (Walsingham, 1908) Rebel, 1910	(Walsingham, 1908) Rebel, 1910		Nepticula		ridiculosa				Rebel H. Sechster Beitrag zur Lepidopterenfauna der Kanaren. Annalen des Kaiserlich-Königlichen Naturhistorischen Hofmuseums, Wien 24: 327-374. (1910).	ICZN			
12b6c4dd-0893-4a8f-be49-f20045083728		887cf461-e2f6-418f-b350-b6f6a8c5c8d9		12b6c4dd-0893-4a8f-be49-f20045083728		synonym	species	Stigmella ridiculosa Walsingham, 1908	Walsingham, 1908		Stigmella		ridiculosa				Walsingham L. Microlepidoptera of Tenerife. Proceedings of the Zoological Society of London 1907: 911-1034, pls. 1051-1053. (1908).	ICZN			
938800ba-355c-4f6a-8824-f941a6f1b75d		b7660f9f-d3c4-4c6f-929c-81fb6658049a		938800ba-355c-4f6a-8824-f941a6f1b75d		synonym	species	Fomoria repanda Puplesis & Diškus in Puplesis et al., 2002	Puplesis & Diškus in Puplesis et al., 2002		Fomoria		repanda				Puplesis R, Diškus A, Robinson GS. New Neotropical Nepticulidae (Lepidoptera) from the western Amazonian rainforest and the Andes of Ecuador. Bulletin of the Natural History Museum London Entomology 71: 19-58. (2002).	ICZN			
