scientific_nameID	parent_nameID	accepted_nameID	name_usage	unacceptability_reason	rank_name	taxon_author	unit_name1	unit_name2	unit_name3	unit_name4	geographic_value	origin	referenceID
1464-2830		1464	unaccepted	other, see comments	Species	(Druce, 1910)	Macrotarsipus	belia					0d820e57c364ca5ff5de51aa4952f0be
1464-2828		1464	unaccepted	other, see comments	Species	Beutenmüller, 1899	Sesia	africana					2bb8518849a847a21771320b78e06c34
1464-2829		1464	unaccepted	other, see comments	Species	Druce, 1910	Aegeria	belia					0d820e57c364ca5ff5de51aa4952f0be
1461	938		accepted		Genus	Hampson, [1893]	Macrotarsipus						3891d1ba67171310700782778d36bb48
1462	1461		accepted		Species	Hampson, [1893]	Macrotarsipus	albipunctus					3891d1ba67171310700782778d36bb48
1463	1461		accepted		Species	Arita & Gorbunov, 1995	Macrotarsipus	similis					544486522b20ea384b68f9e5dcb7cbb3
1458	938		accepted		Genus	Le Cerf, 1916	Pseudalcathoe						b87b5594458483a1bcc561c1b958dd70
1459	1458		accepted		Species	Le Cerf, 1916	Pseudalcathoe	chatanayi					b87b5594458483a1bcc561c1b958dd70
1460	1458		accepted		Species	Meyrick, 1932	Pseudalcathoe	aspetura			Africa	Native	f15c6d3f18abf65f428207f5acb943b9
1446	938		accepted		Genus	Edwards, 1882	Alcathoe						74930739f20bf4b1df5cd552466c1165
1448	1446		accepted		Species	Engelhardt, 1925	Alcathoe	carolinensis			North America	Native	cf1156846d42b6cec69fc1f809aa3806
1447	1446		accepted		Species	Engelhardt, 1946	Alcathoe	autumnalis			North America	Native	ebd59616894a885b226ab80df54fcc37
1450	1446		accepted		Species	Engelhardt, 1925	Alcathoe	pepsioides			North America	Native	cf1156846d42b6cec69fc1f809aa3806
1450-2807		1450	unaccepted	other, see comments	Variety	Engelhardt, 1925	Alcathoe	pepsioides					cf1156846d42b6cec69fc1f809aa3806
1450-2808		1450	unaccepted	other, see comments	Form	Engelhardt, 1946	Alcathoe	pepsioides					ebd59616894a885b226ab80df54fcc37
1449	1446		accepted		Species	(Harris, 1839)	Alcathoe	caudata			North America	Native	354b92b41c159f279b52d33ab8d0151c
1449-2801		1449	unaccepted	other, see comments	Species	Harris, 1839	Aegeria	caudata					354b92b41c159f279b52d33ab8d0151c
1449-2802		1449	unaccepted	other, see comments	Form	Engelhardt, 1946	Alcathoe	caudata					ebd59616894a885b226ab80df54fcc37
1449-2803		1449	unaccepted	other, see comments	Species	Harris, 1839	Aegeria	fulvicornis					354b92b41c159f279b52d33ab8d0151c
1449-2804		1449	unaccepted	other, see comments	Species	(Harris, 1839)	Alcathoe	fulvicornis					354b92b41c159f279b52d33ab8d0151c
1449-2805		1449	unaccepted	other, see comments	Form	Neumoegen, 1894	Alcathoe	caudata					3c442424cfff81c731e0ad8f392ba3fd
1452	1446		accepted		Species	Zukowsky, 1936	Alcathoe	altera					b0b54ea3fd29dcf6de54a645e1730bfc
1451	1446		accepted		Species	(Druce, 1884)	Alcathoe	verrugo					923b5e7585bfa49f57bbea04af76c92a
1451-2811		1451	unaccepted	other, see comments	Variety	Engelhardt, 1946	Alcathoe	verrugo					ebd59616894a885b226ab80df54fcc37
1451-2810		1451	unaccepted	other, see comments	Species	Druce, 1884	Sannina	verrugo					923b5e7585bfa49f57bbea04af76c92a
1453	1446		accepted		Species	Krogmann & Riefenstahl, 2004	Alcathoe	cuauhtemoci					658770263bceefab75e749d54169afdd
1454	1446		accepted		Species	(Druce, 1889)	Alcathoe	helena					8b569efd47918ea4b88f28856e37a925
1454-2815		1454	unaccepted	other, see comments	Species	Druce, 1889	Aegeria	helena					8b569efd47918ea4b88f28856e37a925
1455	1446		accepted		Species	(Druce, 1884)	Alcathoe	korites					923b5e7585bfa49f57bbea04af76c92a
