Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	381	Mendes C. Lithocolletes et Nepticulae novae ex Lusitania. Brotéria Serie Zoológica 9: 163-166, pl. 167. (1910).	Mendes, C.		Lithocolletes et Nepticulae novae ex Lusitania	Brotéria Serie Zoológica 9	01/01/1910	163–166					
Journal Article	382	Borkowski A. Studien an Stigmelliden (Lepidoptera). Teil III. Beitrag zur Kenntnis der Stigmellidenfauna Polens. Polskie Pismo Entomologiczne 40: 541-555. (1970).	Borkowski, A.		Studien an Stigmelliden (Lepidoptera). Teil III. Beitrag zur Kenntnis der Stigmellidenfauna Polens	Polskie Pismo Entomologiczne 40	01/01/1970	541–555					
Journal Article	383	Meyrick E. Descriptions of South African Micro-Lepidoptera. Annals of the Transvaal Museum 8: 49-148. (1921).	Meyrick, E.		Descriptions of South African Micro-Lepidoptera	Annals of the Transvaal Museum 8	01/01/1921	49–148					
Journal Article	384	Philpott A. Descriptions of new species of Lepidoptera. Transactions and Proceedings of the New Zealand Institute 51: 224-225. (1919).	Philpott, A.		Descriptions of new species of Lepidoptera	Transactions and Proceedings of the New Zealand Institute 51	01/01/1919	224–225					
Journal Article	385	Hirano N. Nepticulidae. In: Hirowatari T, Nasu Y, Sakamaki Y, Kishida Y (Eds) Nihon-san garui hyojun zukan The standard of moths in Japan. Gakken Kyoiku Shuppan, Tokyo, 80-96, pls 83-03 - 83-06. (2013).	Hirano, N.,  / Hirowatari, T., Y. Nasu, Y. Sakamaki, and Y. Kishida, eds.	Hirowatari, T., Y. Nasu, Y. Sakamaki, and Y. Kishida, eds.	Nepticulidae	Nihon-san garui hyojun zukan The standard of moths in Japan	01/01/2013	80-96	Gakken Kyoiku Shuppan	Tokyo			
Miscellaneous	386	Hudson GV. A supplement to The Butterflies and Moths of New Zealand. Ferguson & Osborn, Wellington: [iv,] 387-481, 310 pls. pp. (1939).	Hudson, G. V.			A supplement to The Butterflies and Moths of New Zealand	01/01/1939	387-481	Ferguson & Osborn	Wellington		iv,	
Journal Article	387	Laštuvka A, Laštuvka Z. Acalyptris pyrenaica sp. n. aus Spanien (Lepidoptera: Nepticulidae). SHILAP Revista de Lepidopterologia 21: 157-160. (1993).	Laštuvka, A., and Z. Laštuvka		Acalyptris pyrenaica sp. n. aus Spanien (Lepidoptera: Nepticulidae)	SHILAP Revista de Lepidopterologia 21	01/01/1993	157–160					
Journal Article	388	Nieukerken EJ van. A new species of Parafomoria van Nieukerken, and some additional notes on the genus (Lepidoptera: Nepticulidae). Entomologische Berichten, Amsterdam 45: 24-28. (1985).	van Nieukerken, E. J.,		A new species of Parafomoria van Nieukerken, and some additional notes on the genus (Lepidoptera: Nepticulidae)	Entomologische Berichten, Amsterdam 45	01/01/1985	24–28					
Book	389	Duponchel PJ. Catalogue méthodique des lépidoptères d'Europe distribués en familles, tribus et genres, avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complémen. Méquignon-Marvis fils, Paris :: xxx, 523 pp. doi: 10.5962/bhl.title.24379. (1844).	Duponchel, P. J.			Catalogue méthodique des lépidoptères d'Europe distribués en familles, tribus et genres, avec l'exposé des caractères sur lesquels ces divisions sont fondées, et l'indication des lieux et des époques où l'on trouve chaque espèce, pour servir de complémen	01/01/1844	523	Méquignon-Marvis fils	Paris	http://dx.doi.org/10.5962/bhl.title.24379	10.5962/bhl.title.24379	fr
Journal Article	390	Wocke MF. Die Lepidopterenfauna des Stilfser Jochs. Fortsetzung II. Jahresbericht der Schlesischen Gesellschaft für Vaterländische Kultur 58: 198-205. (1881).	Wocke, M. F.		Die Lepidopterenfauna des Stilfser Jochs. Fortsetzung II	Jahresbericht der Schlesischen Gesellschaft für Vaterländische Kultur 58	01/01/1881	198–205					
Journal Article	391	Zeller PC. Exotische Microlepidoptera. Horae Societatis Entomologicae Rossicae 13: 3-493, 496 pls. (1877).	Zeller, P. C.		Exotische Microlepidoptera	Horae Societatis Entomologicae Rossicae 13	01/01/1877	3–493					
Journal Article	392	Nemes I. Stigmella (Fomoria) peiuii nova species (Lepidoptera, Stigmellidae). Studii si Comunicari, Muzeul de Stiintele naturii Bacau 5: 153-156. (1972).	Nemes, I.		Stigmella (Fomoria) peiuii nova species (Lepidoptera, Stigmellidae	Studii si Comunicari, Muzeul de Stiintele naturii Bacau 5	01/01/1972	153–156					
Journal Article	393	Rössler A. Verzeichnis der Schmetterlinge des Herzogthums Nassau, mit besonderer Berücksichtigung der biologischen Verhältnisse und der Entwicklungsgeschichte. Jahrbuch des Nassauischen Vereins für Naturkunde 19+20: 99-442 (441-342). (1867).	Rössler, A.		Verzeichnis der Schmetterlinge des Herzogthums Nassau, mit besonderer Berücksichtigung der biologischen Verhältnisse und der Entwicklungsgeschichte	Jahrbuch des Nassauischen Vereins für Naturkunde 19+20	01/01/1867	99–442 441–342					
Journal Article	394	Dugdale JS. Entomology of the Aucklands and other islands south of New Zealand: Lepidoptera, excluding non-crambine Pyralidae. Pacific Insects Monograph 27: 55-172. (1971).	Dugdale, J. S.		Entomology of the Aucklands and other islands south of New Zealand: Lepidoptera, excluding non-crambine Pyralidae	Pacific Insects Monograph 27	01/01/1971	55–172					
Journal Article	395	Meyrick E. Descriptions of Indian Micro-Lepidoptera, 1. Journal of the Bombay Natural History Society 16: 580-619. (1905).	Meyrick, E.		Descriptions of Indian Micro-Lepidoptera, 1	Journal of the Bombay Natural History Society 16	01/01/1905	580–619					
Journal Article	396	Toll S. Nepticula heringi sp. nova. Annales Musei Zoologici Polonici 11: 1-3. (1934).	Toll, S.		Nepticula heringi sp. nova	Annales Musei Zoologici Polonici 11	01/01/1934	1–3					
Journal Article	397	Vorbrodt K, Müller-Rutz J. Die Schmetterlinge der Schweiz, II. Band. Wyss, Bern, 2: 726 pp. doi: http://dx.doi.org/10.5962/bhl.title.37847. (1914).	Vorbrodt, K., and J. Müller-Rutz		Die Schmetterlinge der Schweiz, II	Band. Wyss, Bern 2	01/01/1914	726			http://dx.doi.org/10.5962/bhl.title.37847	10.5962/bhl.title.37847	de
Journal Article	398	Wolff NL. Nepticula benanderella n. sp. (Lep., Nepticulidae). Opuscula Entomologica 20: 49-53. (1955).	Wolff, N. L.		Nepticula benanderella n. sp. (Lep. , Nepticulidae)	Opuscula Entomologica 20	01/01/1955	49–53					
Journal Article	399	Rungs CEE. Catalogue raisonné des Lepidoptères du Maroc. Inventaire faunistique et observations écologiques, 1. Travaux de l'Institut Scientifique Chérifien, Série Zoologique 39: 1-222, A221-A225. (1979).	Rungs, C. E. E.		Catalogue raisonné des Lepidoptères du Maroc. Inventaire faunistique et observations écologiques, 1	Travaux de l'Institut Scientifique Chérifien, Série Zoologique 39	01/01/1979	1–222					
Journal Article	400	Chambers VT. Descriptions of some new Tineina, with notes on a few old species. Journal of the Cincinnati Society of Natural History 2: 179-194. (1880).	Chambers, V. T.		Descriptions of some new Tineina, with notes on a few old species	Journal of the Cincinnati Society of Natural History 2	01/01/1880	179–194					
Journal Article	401	Wilkinson C. A supplement to the genus Ectoedemia Busck (Nepticulidae: Lepidoptera) in North America, dealing with some difficult species and also some new ones. Tijdschrift voor Entomologie 124: 93-110. doi: http://biostor.org/reference/49900. (1981).	Wilkinson, C.		A supplement to the genus Ectoedemia Busck (Nepticulidae: Lepidoptera) in North America, dealing with some difficult species and also some new ones	Tijdschrift voor Entomologie 124	01/01/1981	93–110			http://dx.doi.org/http://biostor.org/reference/49900		en
Journal Article	402	Kernbach K. Über die bisher im Pliozän von Willershausen gefundenen Schmetterlings- und Raupenreste. Bericht der Naturhistorischen Gesellschaft zu Hannover 111: 103-108. (1967).	Kernbach, K.		Über die bisher im Pliozän von Willershausen gefundenen Schmetterlings- und Raupenreste	Bericht der Naturhistorischen Gesellschaft zu Hannover 111	01/01/1967	103–108					
Journal Article	403	Stonis JR, Remeikis A, Sruoga V. An annotated list of the Opostegidae of the Himalaya, with a description of Pseudopostega brevicaudata sp. nov. (Lepidoptera: Nepticuloidea). Zootaxa 3609: 182-194. doi: 10.11646/zootaxa.3609.2.4. (2013).	Stonis, J. R., A. Remeikis, and V. Sruoga		An annotated list of the Opostegidae of the Himalaya, with a description of Pseudopostega brevicaudata sp. nov. (Lepidoptera: Nepticuloidea)	Zootaxa 3609	01/01/2013	182–194			http://dx.doi.org/10.11646/zootaxa.3609.2.4	10.11646/zootaxa.3609.2.4	en
Journal Article	404	Rothschild NC. Adatok Magyarország lepkefaunájához. [Data to the Lepidoptera fauna of Hungary]. Rovartani Lapok 19: 21-29. (1912).	Rothschild, N. C.		Adatok Magyarország lepkefaunájához [Data to the Lepidoptera fauna of Hungary]	Rovartani Lapok 19	01/01/1912	21–29					
Journal Article	405	Puplesis RK. Pervye nakhodki rodov Stigmella i Ectoedemia (Lepidoptera, Nepticulidae) v Mongolii. (First records of the genera Stigmella and Ectoedemia (Lepidoptera, Nepticulidae) in Mongolia). Nasekomye Mongolii 9: 508-510. (1984).	Puplesis, R. K.		Pervye nakhodki rodov Stigmella i Ectoedemia (Lepidoptera, Nepticulidae) v Mongolii. (First records of the genera Stigmella and Ectoedemia (Lepidoptera, Nepticulidae) in Mongolia)	Nasekomye Mongolii 9	01/01/1984	508–510					
Journal Article	406	Scoble MJ. A new species of Ectoedemia Busck from Botswana with observations on its imaginal skeletal anatomy (Lepidoptera: Nepticulidae). Annals of the Transvaal Museum 32: 35-54. doi: http://hdl.handle.net/10499/AJ1828. (1979).	Scoble, M. J.		A new species of Ectoedemia Busck from Botswana with observations on its imaginal skeletal anatomy (Lepidoptera: Nepticulidae)	Annals of the Transvaal Museum 32	01/01/1979	35–54			http://dx.doi.org/http://hdl.handle.net/10499/AJ1828		en
Journal Article	407	Stainton HT. Nepticula Myrtillella. Entomologist's Weekly Intelligencer 2: 44. (1857).	Stainton, H. T.		Nepticula Myrtillella	Entomologist's Weekly Intelligencer 2	01/01/1857	44					
Journal Article	408	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 4: 513-544. (1934).	Meyrick, E.		Exotic Microlepidoptera 4	Exotic Microlepidoptera	01/01/1934	513–544					
Journal Article	409	Braun AF. New Microlepidoptera from Ontario. Canadian Entomologist 59: 56-59. doi: 10.4039/Ent5956-3. (1927).	Braun, A. F.		New Microlepidoptera from Ontario	Canadian Entomologist 59	01/01/1927	56–59			http://dx.doi.org/10.4039/Ent5956-3	10.4039/Ent5956-3	en
Conference Paper	410	Busck A. New american Tineina. Proceedings of the Entomological Society of Washington 8: 86-99. (1907).	Busck, A.		New american Tineina	Proceedings of the Entomological Society of Washington 8	01/01/1907	86–99					
Journal Article	411	Stainton HT. Description of a new Nepticula from Beech. Entomologist's Monthly Magazine 25: 12-13. (1888).	Stainton, H. T.		Description of a new Nepticula from Beech	Entomologist's Monthly Magazine 25	01/01/1888	12–13					
Journal Article	412	Nieukerken EJ van, Berg C van den. A new Stigmella feeding on Urticaceae from Guam: first records of Nepticulidae (Lepidoptera) from Micronesia and Polynesia. Invertebrate Systematics 17: 27-37. doi: :10.1071/IS02019. (2003).	van Nieukerken, E. J., and C. van den Berg		A new Stigmella feeding on Urticaceae from Guam: first records of Nepticulidae (Lepidoptera) from Micronesia and Polynesia	Invertebrate Systematics 17	01/01/2003	27–37			http://dx.doi.org/10.1071/IS02019	10.1071/IS02019	en
Journal Article	413	Frey H. Neue schweizerische Microlepidopteren. Mitteilungen der Schweizerischen Entomologischen Gesellschaft 4: 143-144. (1873).	Frey, H.		Neue schweizerische Microlepidopteren	Mitteilungen der Schweizerischen Entomologischen Gesellschaft 4	01/01/1873	143–144					
Journal Article	414	Sorhagen L. Die Microlepidopteren der Hamburger Torfmoore. Entomologische Nachrichten, Berlin 11: 257-264. doi: http://biostor.org/reference/111630. (1885).	Sorhagen, L.		Die Microlepidopteren der Hamburger Torfmoore	Entomologische Nachrichten, Berlin 11	01/01/1885	257–264			http://dx.doi.org/http://biostor.org/reference/111630		de
Journal Article	415	Busck A. List of Trinidad Microlepidoptera with descriptions of new forms. Bulletin of the Department of Agriculture, Trinidad and Tobago 66: 241-245. (1910).	Busck, A.		List of Trinidad Microlepidoptera with descriptions of new forms	Bulletin of the Department of Agriculture, Trinidad and Tobago 66	01/01/1910	241–245					
Journal Article	416	Jäckh E. Die fruchtminierenden Arten der Gattung Nepticula Heyd. (Etainia Beirne) an den vier deutschen Ahornarten (Lep. Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 36: 170-178, pls. 114-116. (1951).	Jäckh, E.		Die fruchtminierenden Arten der Gattung Nepticula Heyd. (Etainia Beirne) an den vier deutschen Ahornarten (Lep. Nepticulidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 36	01/01/1951	170–178					
Journal Article	417	Heyden Cv. Nepticula of the Convolvulus. Entomologist's Weekly Intelligencer 4: 175. (1858).	Heyden, Cv.		Nepticula of the Convolvulus	Entomologist's Weekly Intelligencer 4	01/01/1858	175					
Journal Article	418	Watt MN. The leaf-mining insects of New Zealand: Part 5. The genus Nepticula (Lepidoptera), and the Agromyzidae (Diptera) continued, and Gracilaria selenites Meyr. (Lepidoptera). Transactions and Proceedings of the New Zealand Institute 55: 674-687. (1924).	Watt, M. N.		The leaf-mining insects of New Zealand: Part 5. The genus Nepticula (Lepidoptera), and the Agromyzidae (Diptera) continued, and Gracilaria selenites Meyr (Lepidoptera)	Transactions and Proceedings of the New Zealand Institute 55	01/01/1924	674–687					
Journal Article	419	Straus A. Gallen, Minen und andere Frassspuren im Pliokän von Willershausen am Harz. Verhandlungen des Botanischen Vereins der Provinz Brandenburg 113: 43-80. (1977).	Straus, A.		Minen und andere Frassspuren im Pliokän von Willershausen am Harz	Verhandlungen des Botanischen Vereins der Provinz Brandenburg 113	01/01/1977	43–80					
Journal Article	420	Bruand T. Catalogue systématique et synonymique des Lépidoptères du Département du Doubs. [6]Tinéides. Mémoires de la Société d'Emulation du Doubs 3: 58-92. ([1851]).	Bruand, T.		Catalogue systématique et synonymique des Lépidoptères du Département du Doubs. [6] Tinéides	Mémoires de la Société d'Emulation du Doubs 3	01/01/1851	58–92					
Journal Article	421	Chrétien P. Les chenilles des Buplèvres. Naturaliste Paris 29: 89-91. (1907).	Chrétien, P.		Les chenilles des Buplèvres	Naturaliste Paris 29	01/01/1907	89–91					
Journal Article	422	Kuroko H. A new species of Nepticulid moth from Japan (Lepidoptera: Nepticulidae). Akitu, new series 18: 1-5. (1978).	Kuroko, H.		A new species of Nepticulid moth from Japan (Lepidoptera: Nepticulidae)	Akitu, new series 18	01/01/1978	1–5					
Journal Article	423	Svensson I. Four new species of Microlepidoptera from northern Europe. Entomologica Scandinavica 13: 293-300. doi: 10.1163/187631282X00336. (1982).	Svensson, I.		Four new species of Microlepidoptera from northern Europe	Entomologica Scandinavica 13	01/01/1982	293–300			http://dx.doi.org/10.1163/187631282X00336	10.1163/187631282X00336	en
Journal Article	424	Mendes C. Nepticula et Coleophora novae ex Lusitania. Brotéria Serie Zoológica 9: 102-104, pl. VI. (1910).	Mendes, C.		Nepticula et Coleophora novae ex Lusitania	Brotéria Serie Zoológica 9	01/01/1910	102–104					
Conference Paper	425	Busck A. New species of moths of the superfamily Tineina from Florida. Proceedings of the United States National Museum 23: 225-254, pl. 221. (1900).	Busck, A.		New species of moths of the superfamily Tineina from Florida	Proceedings of the United States National Museum 23	01/01/1900	225–254					
Journal Article	426	Meyrick E. Descriptions of South African Micro-Lepidoptera. Annals of the South African Museum 17: 1-21. (1917).	Meyrick, E.		Descriptions of South African Micro-Lepidoptera	Annals of the South African Museum 17	01/01/1917	1–21					
Journal Article	427	Stonis JR, Diškus A, Remeikis A, Navickaite A, Rociene A. Description of new species of oak leaf-miners (Lepidoptera: Nepticulidae), with notes on the species groups of Stigmella Schrank associated with Quercus as a host-plant. Zootaxa 3737: 201-222. doi: http://dx.doi.org/10.11646/zootaxa.3737.3.1. (2013).	Stonis, J. R., A. Diškus, A. Remeikis, A. Navickaite, and A. Rociene		Description of new species of oak leaf-miners (Lepidoptera: Nepticulidae), with notes on the species groups of Stigmella Schrank associated with Quercus as a host-plant	Zootaxa 3737	01/01/2013	201–222			http://dx.doi.org/10.11646/zootaxa.3737.3.1	10.11646/zootaxa.3737.3.1	en
Miscellaneous	428	Bradley JD. Microlepidoptera. Ruwenzori Expedition 1952 2: 81-148. (1965).	Bradley, J. D.		Microlepidoptera	Ruwenzori Expedition 1952 2	01/01/1952	81–148					
Journal Article	429	Wocke MF. Lepidopterologische Mitteilungen. Zeitschrift für Entomologie (Breslau), N F 7: 70-80. (1879).	Wocke, M. F.		Lepidopterologische Mitteilungen	Zeitschrift für Entomologie (Breslau) N F 7	01/01/1879	70–80					
Journal Article	430	Sircom J. Descriptions of three new British Tineidae. Zoologist 7: xlii. (1849).	Sircom, J.		Descriptions of three new British Tineidae	Zoologist 7	01/01/1849						
Journal Article	431	Straus A. Eine Gangmine im Eocän von Messel. Der Aufschluss 27: 445-446. (1976).	Straus, A.		Eine Gangmine im Eocän von Messel	Der Aufschluss 27	01/01/1976	445–446					
Journal Article	432	Crombrugghe de Picquendaele G de. Observations sur quelques larves de microlépidoptères des environs de Bruxelles. Rectification. Revue mensuelle de la Société Entomologique Namuroise 7: 14. (1907).	Crombrugghe de Picquendaele, G. ,		Observations sur quelques larves de microlépidoptères des environs de Bruxelles. Rectification	Revue mensuelle de la Société Entomologique Namuroise 7	01/01/1907	14					
Book Chapter	433	Vári L, Kroon D. Southern African Lepidoptera. A series of cross-referenced indices. Lepidopterists Society of Southern Africa & The Transvaal Museum, Pretoria: i-x, 1-198 pp. (1986).	Vári, L., and D. Kroon			Southern African Lepidoptera. A series of cross-referenced indices	01/01/1986	1–198	Lepidopterists Society of Southern Africa & The Transvaal Museum	Pretoria			
Journal Article	434	Puplesis R, Diškus A. Acalyptris argyraspis sp. n., a remarkable species from Tadzhikistan (Lepidoptera: Nepticulidae). Phegea 23: 51-54. (1995).	Puplesis, R., and A. Diškus		Acalyptris argyraspis sp. n., a remarkable species from Tadzhikistan (Lepidoptera: Nepticulidae)	Phegea 23	01/01/1995	51–54					
Journal Article	435	Hering M. Minenstudien 12. Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 41: 529-551. (1931).	Hering, M.		Minenstudien 12	Zeitschrift für Pflanzenkrankheiten (Pflanzenpathologie) und Pflanzenschutz 41	01/01/1931	529–551					
Journal Article	436	Kasy F. Die Schmetterlingsfauna des Naturschutzgebietes Hackelsberg, Nordburgenland. Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 30 Supplement: 1-27. (1979).	Kasy, F.		Die Schmetterlingsfauna des Naturschutzgebietes Hackelsberg, Nordburgenland	Zeitschrift der Arbeitsgemeinschaft Österreichischer Entomologen 30 Supplement	01/01/1979	1-27					
Journal Article	437	Meyrick E. Descriptions of South African Micro-Lepidoptera, 3. Annals of the Transvaal Museum 3: 63-83. (1911).	Meyrick, E.		Descriptions of South African Micro-Lepidoptera, 3	Annals of the Transvaal Museum 3	01/01/1911	63–83					
Journal Article	438	Nieukerken EJ van. Review of the subgenus Trifurcula (Levarchama), with two new species (Lepidoptera: Nepticulidae). Acta Zoologica Academiae Scientiarum Hungaricae 53: 101-140. (2007).	van Nieukerken, E. J.,		Review of the subgenus Trifurcula (Levarchama), with two new species (Lepidoptera: Nepticulidae)	Acta Zoologica Academiae Scientiarum Hungaricae 53	01/01/2007	101–140					
Miscellaneous	439	Lhomme L. Catalogue des Lépidoptères de France et de Belgique 2, Microlépidoptères. [Fascicule 8.]. Douelle (Lot), 2 (8): 1081-1253 pp. ([1963]).	Lhomme, L.		Catalogue des Lépidoptères de France et de Belgique 2, Microlépidoptères. [Fascicule 8.]	Douelle (Lot), 2 (8)	01/01/1963	1081–1253				Douelle (Lot),	
Miscellaneous	440	Stainton HT. A supplementary catalogue of the British Tineidae & Pterophoridae. John van Voorst, London: iv+28 pp. (1851).	Stainton, H. T.			A supplementary catalogue of the British Tineidae & Pterophoridae	01/01/1851	28	John van Voorst	London			
Journal Article	441	Skala H. Miner in deutschen Landen. Zeitschrift des Österreichischen Entomologen-Vereins 24: 91-95. (1939).	Skala, H.		Miner in deutschen Landen	Zeitschrift des Österreichischen Entomologen-Vereins 24	01/01/1939	91–95					
Book Chapter	442	Davis DR, Wilkinson C. Nepticulidae. In: Hodges RW, Dominick T, Davis DR, Ferguson DC, Franclemont JG, Munroe EG, Powell JA (Eds) Check list of the Lepidoptera of America north of Mexico : including Greenland. Classey, London, 2-3. (1983).	Davis, D. R., and C. Wilkinson / Hodges, R. W., T. Dominick, D. R. Davis, D. C. Ferguson, J. G. Franclemont, E. G. Munroe, and J. A. Powell, eds.	Hodges, R. W., T. Dominick, D. R. Davis, D. C. Ferguson, J. G. Franclemont, E. G. Munroe, and J. A. Powell, eds.	Nepticulidae	Check list of the Lepidoptera of America north of Mexico : including Greenland	01/01/1983	2–3	Classey	London			
Journal Article	443	Chambers VT. Notes upon some Tineid larvae. Psyche (Cambridge) 3: 63-68. doi: 10.1155/1880/38474. (1880).	Chambers, V. T.		Notes upon some Tineid larvae	Psyche (Cambridge 3	01/01/1880	63–68			http://dx.doi.org/10.1155/1880/38474	10.1155/1880/38474	en
Journal Article	444	Stainton HT. A new Nepticula. Entomologist's Weekly Intelligencer 5: 123. (1859).	Stainton, H. T.		A new Nepticula	Entomologist's Weekly Intelligencer 5	01/01/1859	123					
Journal Article	445	Snellen PCT. Nepticula zelleriella nov. sp. Tijdschrift voor Entomologie 18: 113-117, pl. 117. (1875).	Snellen, P. C. T.		Nepticula zelleriella nov. sp	Tijdschrift voor Entomologie 18	01/01/1875	113–117					
Journal Article	446	Freeman TN. A new species of Nepticula on Bur Oak in Ontario (Nepticulidae). Journal of Research on the Lepidoptera 6: 19-21. (1967).	Freeman, T. N.		A new species of Nepticula on Bur Oak in Ontario (Nepticulidae)	Journal of Research on the Lepidoptera 6	01/01/1967	19–21					
Book Chapter	447	Herrich-Schäffer GAW. Systematisches Verzeichniss [sic!] der Schmetterlinge von Europa. Dritte Auflage; mit Angabe des Vaterlandes. Manz, Regensburg: 28 pp. (1863).	Herrich-Schäffer, G. A. W.			Systematisches Verzeichniss [sic!] der Schmetterlinge von Europa. Dritte Auflage; mit Angabe des Vaterlandes	01/01/1863	28	Manz	Regensburg			
Journal Article	448	Eyer JR. A new species of Opostegidae from Florida. Florida Entomologist 50: 39-42. doi: 10.2307/3493205. (1967).	Eyer, J. R.		A new species of Opostegidae from Florida	Florida Entomologist 50	01/01/1967	39–42			http://dx.doi.org/10.2307/3493205	10.2307/3493205	en
Book Chapter	449	Chrétien P. Lés Lépidoptères du Maroc. Galleriinae - Micropterygidae. In: Oberthür C (Ed) Études de Lépidoptérologie comparée. Oberthür, Rennes, 324-379. (1922).	Chrétien, P.  / Oberthür, C., ed.	Oberthür, C., ed.	Lés Lépidoptères du Maroc. Galleriinae - Micropterygidae	Études de Lépidoptérologie comparée	01/01/1922	324–379	Oberthür	Rennes			
Journal Article	450	Skala H. Minen aus Mittel- und Südeuropa. Zeitschrift des Österreichischen Entomologen-Vereins 21: 78-79. (1936).	Skala, H.		Minen aus Mittel- und Südeuropa	Zeitschrift des Österreichischen Entomologen-Vereins 21	01/01/1936	78–79					
Book	451	Meyrick E. Insectes Lépidoptères, 2. Microlepidoptera. Résultats Scientifiques Voyage de Ch Alluaud et R Jeannel en Afrique Orientale (1911-1912). A. Lhomme, Paris, 33-120. (1920).	Meyrick, E.			Insectes Lépidoptères, 2. Microlepidoptera. Résultats Scientifiques Voyage de Ch Alluaud et R Jeannel en Afrique Orientale	01/01/1911	33–120	A. Lhomme	Paris			
Journal Article	452	Wocke MF. Verzeichniss der Falter Schlesiens, 2. Microlepidoptera. Zeitschrift für Entomologie (Breslau), N F 4: 1-107. (1874).	Wocke, M. F.		Verzeichniss der Falter Schlesiens, 2. Microlepidoptera	Zeitschrift für Entomologie (Breslau) N F 4	01/01/1874	1–107					
Journal Article	453	Meyrick E. Exotic Microlepidoptera. Exotic Microlepidoptera 4: 161-192. (1931).	Meyrick, E.		Exotic Microlepidoptera 4	Exotic Microlepidoptera	01/01/1931	161–192					
Journal Article	454	Heppner JB, Davis DR. A new Neopostega from Guatemala (Lepidoptera: Opostegidae). Lepidoptera Novae 2: 31-34. (2009).	Heppner, J. B., and D. R. Davis		A new Neopostega from Guatemala (Lepidoptera: Opostegidae)	Lepidoptera Novae 2	01/01/2009	31–34					
Journal Article	455	Chambers VT. Further notes upon some Tineid larvae. Psyche (Cambridge) 3: 135-137. doi: 10.1155/1880/18501. (1880).	Chambers, V. T.		Further notes upon some Tineid larvae	Psyche (Cambridge 3	01/01/1880	135–137			http://dx.doi.org/10.1155/1880/18501	10.1155/1880/18501	en
Journal Article	456	Klimesch J. Die europäischen Trifurcula- und Ectoedemia-Arten (Lep., Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 38: 191-196. (1953).	Klimesch, J.		Die europäischen Trifurcula- und Ectoedemia-Arten (Lep., Nepticulidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 38	01/01/1953	191–196					
Journal Article	457	Staudinger O. Beschreibung neuer Lepidopteren des europäischen Faunanegebiets. Berliner Entomologische Zeitschrift 14: 97-132, 193-208. (1870).	Staudinger, O.		Beschreibung neuer Lepidopteren des europäischen Faunanegebiets	Berliner Entomologische Zeitschrift 14	01/01/1870	97–132					
Journal Article	458	Stonis JR, Remeikis A, Diškus A, Noreika R. New Nepticulidae species (Insecta: Lepidoptera) from the Yucatán Peninsula. Zootaxa 3609: 223-230. doi: 10.11646/zootaxa.3609.2.8. (2013).	Stonis, J. R., A. Remeikis, A. Diškus, and R. Noreika		New Nepticulidae species (Insecta: Lepidoptera) from the Yucatán Peninsula	Zootaxa 3609	01/01/2013	223–230			http://dx.doi.org/10.11646/zootaxa.3609.2.8	10.11646/zootaxa.3609.2.8	en
Journal Article	459	Skala H. Wenig und nicht bekannte Minen der Gattung Nepticula. Zeitschrift der Wiener Entomologischen Gesellschaft 34: 129-131, pl. 112, 113. (1949).	Skala, H.		Wenig und nicht bekannte Minen der Gattung Nepticula	Zeitschrift der Wiener Entomologischen Gesellschaft 34	01/01/1949	129–131					
Journal Article	460	Dufrane A. Les Nepticula des Saules en Belgique. Bulletin et Annales de la Société Entomologique de Belgique 70: 29-32. (1930).	Dufrane, A.		Les Nepticula des Saules en Belgique	Bulletin et Annales de la Société Entomologique de Belgique 70	01/01/1930	29–32					
Journal Article	461	Doorenweerd C, Nieukerken EJ van, Sohn J-C, Labandeira CC. A revised checklist of Nepticulidae fossils (Lepidoptera) indicates an Early Cretaceous origin. Zootaxa 3963: 295–334. doi: http://dx.doi.org/10.11646/zootaxa.3963.3.2. (2015).	Doorenweerd, C., E. J. van Nieukerken, J. C. Sohn, and C. C. Labandeira		A revised checklist of Nepticulidae fossils (Lepidoptera) indicates an Early Cretaceous origin	Zootaxa 3963	01/01/2015	295–334			http://dx.doi.org/10.11646/zootaxa.3963.3.2	10.11646/zootaxa.3963.3.2	en
Journal Article	462	Schleich CL. Einige microlepidopterologische Beobachtungen über eine neue Nepticula, die Raupe von Gelech. micella und über Gracil. imperialella. Stettiner Entomologische Zeitung 28: 449-455. (1867).	Schleich, C. L.		Einige microlepidopterologische Beobachtungen über eine neue Nepticula, die Raupe von Gelech. micella und über Gracil. imperialella	Stettiner Entomologische Zeitung 28	01/01/1867	449–455					
