Item type	ID	dwc	reference_author	Editors	title	publication_name	actual_pub_date	pages	publisher	pub_place	URLs	DOI	Language
Journal Article	255	Wood JH. Nepticula torminalis, a species new to science. Entomologist's Monthly Magazine 26: 209-210. (1890).	Wood, J. H.		Nepticula torminalis, a species new to science	Entomologist's Monthly Magazine 26	01/01/1890	209–210					
Journal Article	256	Schrank FvP. Fauna Boica. Durchgedachte Geschichte der in Baiern einheimischen und zahmen Thiere. Zweyter Band, zweyte Abtheilung. J. W. Krüll, Ingolstadt, 2 (2): 1-412 pp. (1802).	Schrank, Fv. P.			Durchgedachte Geschichte der in Baiern einheimischen und zahmen Thiere. Zweyter Band, zweyte Abtheilung	01/01/1802	1–412	J. W. Krüll	Ingolstadt			
Journal Article	257	Stainton HT. Note on a new Nepticula bred from rose in Lancashire by Mr Hodgkinson. Entomologist's Monthly Magazine 21: 103. (1884).	Stainton, H. T.		Note on a new Nepticula bred from rose in Lancashire by Mr Hodgkinson	Entomologist's Monthly Magazine 21	01/01/1884	103					
Journal Article	258	Meyrick E. Micro-Lepidoptera from south Chile and Argentina. Anales del Museo Nacional de Historia Natural de Buenos Aires 36: 377-415. (1931).	Meyrick, E.		Micro-Lepidoptera from south Chile and Argentina	Anales del Museo Nacional de Historia Natural de Buenos Aires 36	01/01/1931	377–415					
Journal Article	259	Walsingham L. Spanish and Moorish Micro-Lepidoptera. Entomologist's Monthly Magazine 40: 7-8. (1904).	Walsingham, L.		Spanish and Moorish Micro-Lepidoptera	Entomologist's Monthly Magazine 40	01/01/1904	7–8					
Journal Article	260	Stainton HT. Nepticula serella, n. sp. Entomologist's Monthly Magazine 24: 260. (1888).	Stainton, H. T.		Nepticula serella, n. sp	Entomologist's Monthly Magazine 24	01/01/1888	260					
Journal Article	261	Klimesch J. Die europäischen Trifurcula- und Ectoedemia-Arten (Lep., Nepticulidae). Zeitschrift der Wiener Entomologischen Gesellschaft 38: 160-170. (1953).	Klimesch, J.		Die europäischen Trifurcula- und Ectoedemia-Arten (Lep., Nepticulidae)	Zeitschrift der Wiener Entomologischen Gesellschaft 38	01/01/1953	160–170					
Journal Article	262	Heyden Cv. Gliederthiere aus der Braunkohle des Niederrhein's, der Wetterau und der Röhn. Paleontographica 10: 62-82, pl. x. (1862).	Heyden, Cv.		Gliederthiere aus der Braunkohle des Niederrhein's, der Wetterau und der Röhn	Paleontographica 10	01/01/1862	62–82					
Miscellaneous	263	Linnaeus C. Systema naturae. Tom. I. Pars II. Editio duodecima reformata. Holmiae: 533-1328 +[1336] pp. doi: http://dx.doi.org/10.5962/bhl.title.68927. (1767).	Linnaeus, C.			Systema naturae. Tom. I. Pars II	01/01/1767	533-1328		Stockholm	http://dx.doi.org/10.5962/bhl.title.68927	10.5962/bhl.title.68927	sm
Journal Article	264	Parenti U. Stigmella saturejae, nuova specie di microlepidottero, e la sua mina. Bollettino di Zoologia Agraria e Bachicoltura, Serie 2 5: 101-105. (1963).	Parenti, U.		Stigmella saturejae, nuova specie di microlepidottero, e la sua mina	Bollettino di Zoologia Agraria e Bachicoltura, Serie 2 5	01/01/1963	101–105					
Journal Article	265	Mendes C. Lepidopteros de Salamanca. Brotéria Serie Zoológica 16: 111-129. (1918).	Mendes, C.		Lepidopteros de Salamanca	Brotéria Serie Zoológica 16	01/01/1918	111–129					
Journal Article	266	Watt MN. The leaf-mining insects of New Zealand: Part II. The genus Nepticula (Lepidoptera). Transactions and Proceedings of the New Zealand Institute 53: 197-219, pls xl-xliii. (1921).	Watt, M. N.		The leaf-mining insects of New Zealand: Part II. The genus Nepticula (Lepidoptera)	Transactions and Proceedings of the New Zealand Institute 53	01/01/1921	197–219					
Book Chapter	267	Klimesch J. Ordnung Lepidoptera. 1. Teil. Pyralidina, Tortricina, Tineina, Eriocraniina und Micropterygina. In: Franz H (Ed) Die Nordost-Alpen im Spiegel ihrer Landtierwelt. Universitätsverlag Wagner, Innsbruck, 481-789. (1961).	Klimesch, J.  / Franz, H., ed.	Franz, H., ed.	1. Teil. Pyralidina, Tortricina, Tineina, Eriocraniina und Micropterygina	Nordost-Alpen im Spiegel ihrer Landtierwelt	01/01/1961	481–789	Universitätsverlag Wagner	Innsbruck		In:	
Journal Article	268	Scoble MJ. Nepticulidae (Lepidoptera) of southern Africa: the genus Ectoedemia Busck. Journal of the Entomological Society of Southern Africa 41: 81-86. (1978).	Scoble, M. J.		Nepticulidae (Lepidoptera) of southern Africa: the genus Ectoedemia Busck	Journal of the Entomological Society of Southern Africa 41	01/01/1978	81–86					
Book Chapter	269	Heyden Cv. Vierte Sitzung, am 23. September. Amtlicher Bericht über die Versammlung der Gesellschaft deutscher Naturforscher und Aerzte zu Mainz 20: 208-209. (1843).	Heyden, Cv.		Vierte Sitzung, am 23. September	Amtlicher Bericht über die Versammlung der Gesellschaft deutscher Naturforscher und Aerzte zu Mainz 20	01/01/1843	208–209					
Journal Article	270	Nieukerken EJ van. Nepticulidae, Opostegidae. In: Karsholt O, Razowski J (Eds) The Lepidoptera of Europe A distributional checklist. Apollo Books, Stenstrup, 21-27, 300. (1996).	van Nieukerken, E. J.,  / Karsholt, O. and J. Razowski, eds.	Karsholt, O. and J. Razowski, eds.	Nepticulidae, Opostegidae	The Lepidoptera of Europe A distributional checklist	01/01/1996	21-27	Apollo Books	Stenstrup			
Journal Article	271	Emmet AM. Notes on some of the British Nepticulidae (Lep.). Entomologist's Record and Journal of Variation 83: 240-248. (1971).	Emmet, A. M.		Notes on some of the British Nepticulidae (Lep)	Entomologist's Record and Journal of Variation 83	01/01/1971	240–248					
Journal Article	272	Hofmann O. Zwei neue Tineen. Stettiner Entomologische Zeitung 29: 28-31. (1868).	Hofmann, O.		Zwei neue Tineen	Stettiner Entomologische Zeitung 29	01/01/1868	28–31					
Journal Article	273	Laštuvka A, Laštuvka Z. Zwei neue Globularia minierende Trifurcula-Arten (Lepidoptera, Nepticulidae). Acta Musei Moraviae, Scientiae biologicae 85: 289-296. (2000).	Laštuvka, A., and Z. Laštuvka		Zwei neue Globularia minierende Trifurcula-Arten (Lepidoptera, Nepticulidae)	Acta Musei Moraviae, Scientiae biologicae 85	01/01/2000	289–296					
Journal Article	274	Sorhagen L. Beiträge zur Biologie Europäischer Nepticula-Arten. Archiv für Naturgeschichte 88A: 9-60. (1922).	Sorhagen, L.		Beiträge zur Biologie Europäischer Nepticula-Arten	Archiv für Naturgeschichte 88A	01/01/1922	9–60					
